NNN REIT PE Ratio Historical Data,NNN REIT PE Ratio Historical Data,NNN REIT PE Ratio Historical Data,NNN REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.62,,19.36
2024-12-31,40.85,$2.15,19.0
2024-09-30,47.85,$2.16,22.15
2024-06-30,41.5,$2.22,18.69
2024-03-31,41.07,$2.18,18.84
2023-12-31,40.85,$2.16,18.91
2023-09-30,32.96,$2.13,15.48
2023-06-30,39.39,$2.04,19.31
2023-03-31,40.13,$1.92,20.9
2022-12-31,41.11,$1.88,21.87
2022-09-30,35.35,$1.75,20.2
2022-06-30,37.69,$1.70,22.17
2022-03-31,38.94,$1.67,23.32
2021-12-31,41.15,$1.51,27.25
2021-09-30,36.55,$1.47,24.87
2021-06-30,39.25,$1.32,29.73
2021-03-31,36.49,$1.17,31.19
2020-12-31,33.45,$1.22,27.42
2020-09-30,27.76,$1.23,22.57
2020-06-30,28.13,$1.28,21.98
2020-03-31,25.13,$1.47,17.09
2019-12-31,41.47,$1.56,26.59
2019-09-30,43.24,$1.40,30.89
2019-06-30,40.25,$1.52,26.48
2019-03-31,41.65,$1.49,27.96
2018-12-31,36.13,$1.67,21.64
2018-09-30,33.04,$1.91,17.3
2018-06-30,32.04,$1.79,17.9
2018-03-31,28.27,$1.72,16.43
2017-12-31,30.68,$1.45,21.16
2017-09-30,29.29,$1.40,20.92
2017-06-30,27.17,$1.33,20.43
2017-03-31,30.0,$1.30,23.07
2016-12-31,30.08,$1.39,21.64
2016-09-30,34.25,$1.26,27.19
2016-06-30,34.54,$1.32,26.16
2016-03-31,30.55,$1.30,23.5
2015-12-31,26.21,$1.20,21.84
2015-09-30,23.47,$1.31,17.92
2015-06-30,22.39,$1.28,17.49
2015-03-31,25.93,$1.30,19.95
2014-12-31,24.68,$1.24,19.9
2014-09-30,21.43,$1.18,18.16
2014-06-30,22.79,$1.16,19.65
2014-03-31,20.79,$1.13,18.4
2013-12-31,18.14,$1.10,16.5
2013-09-30,18.82,$1.13,16.65
2013-06-30,20.12,$1.14,17.65
2013-03-31,20.94,$1.13,18.53
2012-12-31,17.84,$1.11,16.07
2012-09-30,17.23,$1.05,16.41
2012-06-30,15.77,$0.99,15.92
2012-03-31,14.94,$0.96,15.56
2011-12-31,14.29,$0.96,14.89
2011-09-30,14.36,$0.85,16.89
2011-06-30,12.9,$0.84,15.36
2011-03-31,13.55,$0.84,16.14
2010-12-31,13.54,$0.79,17.14
2010-09-30,12.65,$0.36,35.14
2010-06-30,10.63,$0.39,27.25
2010-03-31,11.14,$0.48,23.21
2009-12-31,10.17,$0.62,16.4
