General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,265.7,,19.48
2024-12-31,263.49,$13.64,19.32
2024-09-30,300.77,$13.13,22.91
2024-06-30,287.32,$12.82,22.41
2024-03-31,278.37,$12.26,22.71
2023-12-31,254.55,$12.02,21.18
2023-09-30,215.3,$11.96,18.0
2023-06-30,208.34,$12.18,17.11
2023-03-31,219.72,$12.23,17.97
2022-12-31,237.59,$12.20,19.47
2022-09-30,202.03,$12.01,16.82
2022-06-30,210.68,$11.82,17.82
2022-03-31,227.18,$11.68,19.45
2021-12-31,195.27,$11.55,16.91
2021-09-30,182.54,$11.65,15.67
2021-06-30,174.21,$11.48,15.17
2021-03-31,166.93,$11.05,15.11
2020-12-31,135.86,$11.00,12.35
2020-09-30,125.42,$11.02,11.38
2020-06-30,134.41,$11.26,11.94
2020-03-31,118.04,$11.85,9.96
2019-12-31,156.46,$11.98,13.06
2019-09-30,161.18,$11.54,13.97
2019-06-30,159.49,$11.25,14.18
2019-03-31,147.61,$11.10,13.3
2018-12-31,136.32,$11.19,12.18
2018-09-30,176.72,$10.22,17.29
2018-06-30,160.13,$9.89,16.19
2018-03-31,188.95,$9.72,19.44
2017-12-31,173.32,$9.55,18.15
2017-09-30,174.45,$10.03,17.39
2017-06-30,167.4,$9.72,17.22
2017-03-31,157.48,$9.71,16.22
2016-12-31,144.62,$9.53,15.18
2016-09-30,129.33,$9.35,13.83
2016-06-30,116.06,$9.42,12.32
2016-03-31,108.26,$9.25,11.7
2015-12-31,112.6,$9.09,12.39
2015-09-30,112.53,$8.78,12.82
2015-06-30,115.58,$8.56,13.5
2015-03-31,109.62,$7.87,13.93
2014-12-31,110.65,$7.44,14.87
2014-09-30,101.67,$6.75,15.06
2014-06-30,92.74,$6.53,14.2
2014-03-31,86.18,$6.76,12.75
2013-12-31,75.16,$6.67,11.27
2013-09-30,68.39,$-0.80,0.0
2013-06-30,60.77,$-0.94,0.0
2013-03-31,54.27,$-0.98,0.0
2012-12-31,53.31,$-1.03,0.0
2012-09-30,50.12,$6.72,7.46
2012-06-30,49.62,$6.82,7.28
2012-03-31,54.8,$6.81,8.05
2011-12-31,49.27,$6.88,7.16
2011-09-30,41.86,$7.11,5.89
2011-06-30,54.84,$7.01,7.82
2011-03-31,55.63,$6.92,8.04
2010-12-31,51.26,$6.81,7.53
2010-09-30,45.08,$6.47,6.97
2010-06-30,42.03,$6.24,6.74
2010-03-31,54.71,$6.17,8.87
2009-12-31,48.05,$6.17,7.79
