Workhorse PE Ratio Historical Data,Workhorse PE Ratio Historical Data,Workhorse PE Ratio Historical Data,Workhorse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.2,,0.0
2024-09-30,0.87,$-7.98,0.0
2024-06-30,1.57,$-9.80,0.0
2024-03-31,4.69,$-10.80,0.0
2023-12-31,7.2,$-11.80,0.0
2023-09-30,8.29,$-13.00,0.0
2023-06-30,17.43,$-14.60,0.0
2023-03-31,26.6,$-14.80,0.0
2022-12-31,30.4,$-14.80,0.0
2022-09-30,57.4,$-32.60,0.0
2022-06-30,52.0,$-43.60,0.0
2022-03-31,100.0,$-48.00,0.0
2021-12-31,87.2,$-65.80,0.0
2021-09-30,153.0,$21.20,7.22
2021-06-30,331.8,$21.00,15.8
2021-03-31,275.4,$-7.20,0.0
2020-12-31,395.6,$14.80,26.73
2020-09-30,505.6,$-49.20,0.0
2020-06-30,347.8,$-37.00,0.0
2020-03-31,36.2,$-14.00,0.0
2019-12-31,60.8,$-17.40,0.0
2019-09-30,70.0,$-23.40,0.0
2019-06-30,58.8,$-22.40,0.0
2019-03-31,12.3,$-13.80,0.0
2018-12-31,10.56,$-14.80,0.0
2018-09-30,21.4,$-15.60,0.0
2018-06-30,36.4,$-20.20,0.0
2018-03-31,52.8,$-21.80,0.0
2017-12-31,51.2,$-23.40,0.0
2017-09-30,55.2,$-22.60,0.0
2017-06-30,73.8,$-20.60,0.0
2017-03-31,52.6,$-18.20,0.0
2016-12-31,141.2,$-18.00,0.0
