EDAP TMS S.A PE Ratio Historical Data,EDAP TMS S.A PE Ratio Historical Data,EDAP TMS S.A PE Ratio Historical Data,EDAP TMS S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.28,,0.0
2024-09-30,2.55,$-0.65,0.0
2024-06-30,5.44,$-0.58,0.0
2024-03-31,7.35,$-0.54,0.0
2023-12-31,5.28,$-0.63,0.0
2023-09-30,7.02,$-0.62,0.0
2023-06-30,9.22,$-0.50,0.0
2023-03-31,11.07,$-0.30,0.0
2022-12-31,10.66,$-0.07,0.0
2022-09-30,8.25,$0.11,75.0
2022-06-30,6.8,$0.07,97.14
2022-03-31,7.25,$-0.01,0.0
2021-12-31,5.99,$0.01,0.0
2021-09-30,6.38,$-0.00,0.0
2021-06-30,7.09,$-0.00,0.0
2021-03-31,8.4,$0.01,0.0
2020-12-31,5.17,$-0.07,0.0
2020-09-30,4.6,$-0.06,0.0
2020-06-30,2.47,$0.01,247.43
2020-03-31,2.27,$0.07,32.43
2019-12-31,4.43,$0.13,34.08
2019-09-30,4.49,$0.13,34.54
2019-06-30,2.7,$0.07,38.57
2019-03-31,3.0,$-0.01,0.0
2018-12-31,1.85,$-0.02,0.0
2018-09-30,3.08,$-0.06,0.0
2018-06-30,3.03,$-0.05,0.0
2018-03-31,2.32,$-0.09,0.0
2017-12-31,2.87,$-0.03,0.0
2017-09-30,2.98,$-0.08,0.0
2017-06-30,3.3,$-0.01,0.0
2017-03-31,2.77,$0.15,18.47
2016-12-31,3.28,$0.15,21.87
2016-09-30,2.9,$0.39,7.44
2016-06-30,3.31,$0.12,27.58
2016-03-31,4.02,$0.05,80.4
2015-12-31,4.13,$-0.12,0.0
2015-09-30,5.59,$-0.44,0.0
2015-06-30,3.25,$0.11,29.55
2015-03-31,3.63,$-0.23,0.0
2014-12-31,2.33,$-0.07,0.0
2014-09-30,1.31,$0.02,65.5
2014-06-30,4.98,$-0.33,0.0
2014-03-31,2.86,$-0.02,0.0
2013-12-31,2.95,$-0.34,0.0
2013-09-30,2.53,$-0.38,0.0
2013-06-30,2.72,$-0.39,0.0
2013-03-31,4.17,$-0.57,0.0
2012-12-31,2.04,$-0.52,0.0
2012-09-30,1.71,$-0.50,0.0
2012-06-30,1.94,$-0.38,0.0
2012-03-31,1.9,$-0.35,0.0
2011-12-31,1.69,$-0.11,0.0
2011-09-30,1.75,$-0.79,0.0
2011-06-30,3.28,$-1.10,0.0
2011-03-31,3.49,$-1.06,0.0
2010-12-31,5.64,$-1.40,0.0
2010-09-30,2.41,$-0.43,0.0
2010-06-30,2.33,$-1.01,0.0
2010-03-31,3.16,$-0.96,0.0
2009-12-31,2.75,$-1.06,0.0
