Lindblad Expeditions PE Ratio Historical Data,Lindblad Expeditions PE Ratio Historical Data,Lindblad Expeditions PE Ratio Historical Data,Lindblad Expeditions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.23,,0.0
2024-12-31,11.86,$-0.70,0.0
2024-09-30,9.25,$-0.75,0.0
2024-06-30,9.65,$-1.03,0.0
2024-03-31,9.33,$-1.03,0.0
2023-12-31,11.27,$-0.94,0.0
2023-09-30,7.2,$-1.04,0.0
2023-06-30,10.88,$-1.30,0.0
2023-03-31,9.56,$-1.41,0.0
2022-12-31,7.7,$-2.25,0.0
2022-09-30,6.76,$-2.16,0.0
2022-06-30,8.1,$-2.48,0.0
2022-03-31,15.08,$-2.60,0.0
2021-12-31,15.6,$-2.41,0.0
2021-09-30,14.59,$-2.46,0.0
2021-06-30,16.01,$-2.52,0.0
2021-03-31,18.9,$-2.61,0.0
2020-12-31,17.12,$-1.99,0.0
2020-09-30,8.51,$-1.43,0.0
2020-06-30,7.72,$-0.88,0.0
2020-03-31,4.17,$-0.06,0.0
2019-12-31,16.35,$0.29,56.38
2019-09-30,16.76,$0.22,76.18
2019-06-30,17.95,$0.34,52.79
2019-03-31,15.25,$0.32,47.66
2018-12-31,13.46,$0.25,53.84
2018-09-30,14.87,$-0.01,0.0
2018-06-30,13.25,$0.08,165.63
2018-03-31,10.27,$0.02,513.5
2017-12-31,9.79,$-0.21,0.0
2017-09-30,10.7,$-0.04,0.0
2017-06-30,10.5,$-0.08,0.0
2017-03-31,8.96,$-0.02,0.0
2016-12-31,9.45,$0.20,47.25
2016-09-30,9.0,$0.39,23.08
2016-06-30,9.63,$0.23,41.87
