Dare Bioscience PE Ratio Historical Data,Dare Bioscience PE Ratio Historical Data,Dare Bioscience PE Ratio Historical Data,Dare Bioscience PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.88,,0.0
2024-09-30,3.24,$-0.59,0.0
2024-06-30,4.03,$-1.12,0.0
2024-03-31,5.88,$-3.84,0.0
2023-12-31,3.71,$-4.08,0.0
2023-09-30,5.54,$-5.64,0.0
2023-06-30,10.92,$-5.52,0.0
2023-03-31,12.48,$-4.32,0.0
2022-12-31,9.96,$-4.44,0.0
2022-09-30,12.0,$-4.32,0.0
2022-06-30,14.76,$-5.52,0.0
2022-03-31,17.88,$-7.68,0.0
2021-12-31,24.0,$-8.40,0.0
2021-09-30,20.04,$-8.88,0.0
2021-06-30,22.68,$-9.60,0.0
2021-03-31,20.28,$-10.68,0.0
2020-12-31,16.08,$-10.92,0.0
2020-09-30,11.98,$-10.80,0.0
2020-06-30,11.86,$-10.32,0.0
2020-03-31,10.2,$-10.56,0.0
2019-12-31,9.84,$-11.64,0.0
2019-09-30,9.36,$-12.12,0.0
2019-06-30,10.2,$-12.49,0.0
2019-03-31,16.8,$-12.85,0.0
2018-12-31,8.53,$-20.17,0.0
2018-09-30,11.7,$-50.18,0.0
2018-06-30,14.04,$-50.90,0.0
2018-03-31,10.05,$-64.11,0.0
2017-12-31,25.97,$-79.95,0.0
2017-09-30,37.44,$-46.94,0.0
2017-06-30,53.28,$-86.68,0.0
2017-03-31,97.49,$-117.65,0.0
2016-12-31,84.98,$-150.06,0.0
2016-09-30,125.64,$-196.88,0.0
2016-06-30,254.4,$-200.48,0.0
2016-03-31,325.2,$-196.88,0.0
2015-12-31,336.0,$-187.28,0.0
2015-09-30,439.2,$-184.88,0.0
2015-06-30,552.0,$-171.67,0.0
2015-03-31,1081.2,$-180.07,0.0
