Sana Biotechnology PE Ratio Historical Data,Sana Biotechnology PE Ratio Historical Data,Sana Biotechnology PE Ratio Historical Data,Sana Biotechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.26,,0.0
2024-09-30,4.16,$-1.40,0.0
2024-06-30,5.46,$-1.15,0.0
2024-03-31,10.0,$-1.53,0.0
2023-12-31,4.08,$-1.47,0.0
2023-09-30,3.87,$-1.44,0.0
2023-06-30,5.96,$-1.89,0.0
2023-03-31,3.27,$-1.69,0.0
2022-12-31,3.95,$-1.43,0.0
2022-09-30,6.0,$-1.61,0.0
2022-06-30,6.43,$-1.62,0.0
2022-03-31,8.26,$-1.14,0.0
2021-12-31,15.48,$-2.49,0.0
