Domo PE Ratio Historical Data,Domo PE Ratio Historical Data,Domo PE Ratio Historical Data,Domo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.29,,0.0
2024-10-31,7.95,$-2.19,0.0
2024-07-31,8.36,$-2.16,0.0
2024-04-30,7.53,$-2.10,0.0
2024-01-31,10.87,$-2.10,0.0
2023-10-31,8.16,$-2.16,0.0
2023-07-31,17.87,$-2.40,0.0
2023-04-30,15.88,$-2.81,0.0
2023-01-31,15.51,$-3.11,0.0
2022-10-31,17.67,$-3.55,0.0
2022-07-31,28.01,$-3.74,0.0
2022-04-30,41.42,$-3.58,0.0
2022-01-31,46.96,$-3.17,0.0
2021-10-31,88.35,$-2.81,0.0
2021-07-31,88.33,$-2.68,0.0
2021-04-30,64.29,$-2.60,0.0
2021-01-31,63.39,$-2.90,0.0
2020-10-31,31.77,$-3.31,0.0
2020-07-31,32.18,$-3.61,0.0
2020-04-30,19.45,$-4.13,0.0
2020-01-31,24.22,$-4.57,0.0
2019-10-31,16.08,$-4.64,0.0
2019-07-31,27.74,$-4.83,0.0
2019-04-30,38.31,$-8.10,0.0
