SEACOR Marine Holdings PE Ratio Historical Data,SEACOR Marine Holdings PE Ratio Historical Data,SEACOR Marine Holdings PE Ratio Historical Data,SEACOR Marine Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.42,,0.0
2024-12-31,6.56,$-2.82,0.0
2024-09-30,9.65,$-1.68,0.0
2024-06-30,13.49,$-1.12,0.0
2024-03-31,13.94,$-0.84,0.0
2023-12-31,12.59,$-0.36,0.0
2023-09-30,13.88,$-1.06,0.0
2023-06-30,11.43,$-1.94,0.0
2023-03-31,7.61,$-2.49,0.0
2022-12-31,9.16,$-2.69,0.0
2022-09-30,5.62,$-2.81,0.0
2022-06-30,5.76,$-2.13,0.0
2022-03-31,8.07,$0.38,21.24
2021-12-31,3.4,$1.18,2.88
2021-09-30,4.63,$0.26,17.81
2021-06-30,4.41,$-0.23,0.0
2021-03-31,5.33,$-2.26,0.0
2020-12-31,2.71,$-3.16,0.0
2020-09-30,2.03,$-2.48,0.0
2020-06-30,2.55,$-2.54,0.0
2020-03-31,4.38,$-3.51,0.0
2019-12-31,13.79,$-3.96,0.0
2019-09-30,12.57,$-3.45,0.0
2019-06-30,14.96,$-3.38,0.0
2019-03-31,13.31,$-3.42,0.0
2018-12-31,11.76,$-3.95,0.0
2018-09-30,22.63,$-2.40,0.0
2018-06-30,23.09,$-2.94,0.0
2018-03-31,19.02,$-3.62,0.0
