McDonald's PE Ratio Historical Data,McDonald's PE Ratio Historical Data,McDonald's PE Ratio Historical Data,McDonald's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,307.0,,26.95
2024-12-31,289.89,$11.39,25.45
2024-09-30,302.68,$11.39,26.57
2024-06-30,251.83,$11.43,22.03
2024-03-31,278.62,$11.78,23.65
2023-12-31,291.35,$11.57,25.18
2023-09-30,257.33,$11.36,22.65
2023-06-30,289.92,$10.87,26.67
2023-03-31,270.24,$9.32,29.0
2022-12-31,253.24,$8.35,30.33
2022-09-30,220.5,$7.94,27.77
2022-06-30,234.64,$8.12,28.9
2022-03-31,233.72,$9.47,24.68
2021-12-31,251.95,$10.04,25.09
2021-09-30,225.34,$9.70,23.23
2021-06-30,214.72,$9.19,23.36
2021-03-31,207.21,$6.89,30.07
2020-12-31,197.14,$6.31,31.24
2020-09-30,200.46,$6.55,30.6
2020-06-30,167.49,$6.31,26.54
2020-03-31,149.13,$7.63,19.55
2019-12-31,177.09,$7.88,22.47
2019-09-30,191.18,$7.62,25.09
2019-06-30,183.93,$7.61,24.17
2019-03-31,167.22,$7.54,22.18
2018-12-31,155.38,$7.54,20.61
2018-09-30,145.49,$6.59,22.08
2018-06-30,135.43,$6.81,19.89
2018-03-31,134.31,$6.61,20.32
2017-12-31,146.89,$6.36,23.1
2017-09-30,132.93,$6.93,19.18
2017-06-30,129.18,$6.11,21.14
2017-03-31,108.65,$5.66,19.2
2016-12-31,101.28,$5.42,18.69
2016-09-30,95.25,$5.29,18.01
2016-06-30,98.6,$5.19,19.0
2016-03-31,102.23,$5.20,19.66
2015-12-31,95.37,$4.81,19.83
2015-09-30,78.92,$4.63,17.05
2015-06-30,75.48,$4.32,17.47
2015-03-31,76.69,$4.46,17.2
2014-12-31,73.12,$4.83,15.14
2014-09-30,73.34,$5.10,14.38
2014-06-30,77.26,$5.53,13.97
2014-03-31,74.59,$5.51,13.54
2013-12-31,73.2,$5.56,13.17
2013-09-30,71.98,$5.54,12.99
2013-06-30,73.48,$5.45,13.48
2013-03-31,73.41,$5.39,13.62
2012-12-31,64.43,$5.36,12.02
2012-09-30,66.43,$5.31,12.51
2012-06-30,63.6,$5.33,11.93
2012-03-31,69.92,$5.36,13.05
2011-12-31,71.01,$5.28,13.45
2011-09-30,61.7,$5.11,12.07
2011-06-30,58.84,$4.95,11.89
2011-03-31,52.71,$4.73,11.14
2010-12-31,52.74,$4.58,11.51
2010-09-30,50.8,$4.53,11.21
2010-06-30,44.57,$4.39,10.15
2010-03-31,44.78,$4.24,10.56
2009-12-31,41.55,$4.11,10.11
