Westlake Chemical Partners LP PE Ratio Historical Data,Westlake Chemical Partners LP PE Ratio Historical Data,Westlake Chemical Partners LP PE Ratio Historical Data,Westlake Chemical Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.43,,13.24
2024-12-31,23.14,$1.77,13.07
2024-09-30,21.95,$1.75,12.54
2024-06-30,21.66,$1.61,13.46
2024-03-31,20.86,$1.54,13.55
2023-12-31,19.94,$1.54,12.95
2023-09-30,19.6,$1.61,12.17
2023-06-30,19.15,$1.66,11.53
2023-03-31,19.0,$1.79,10.62
2022-12-31,19.91,$1.83,10.88
2022-09-30,17.83,$2.19,8.14
2022-06-30,20.28,$2.13,9.52
2022-03-31,21.66,$2.37,9.14
2021-12-31,21.11,$2.34,9.02
2021-09-30,18.78,$1.93,9.73
2021-06-30,20.41,$2.10,9.72
2021-03-31,17.9,$1.82,9.83
2020-12-31,17.42,$1.89,9.22
2020-09-30,13.36,$1.95,6.85
2020-06-30,13.17,$1.84,7.16
2020-03-31,10.03,$1.80,5.57
2019-12-31,17.57,$1.76,9.98
2019-09-30,15.15,$1.64,9.24
2019-06-30,15.7,$1.60,9.81
2019-03-31,14.22,$1.61,8.83
2018-12-31,14.83,$1.51,9.82
2018-09-30,15.03,$1.60,9.39
2018-06-30,14.56,$1.69,8.61
2018-03-31,13.04,$1.65,7.91
2017-12-31,14.32,$1.64,8.73
2017-09-30,12.81,$1.57,8.16
2017-06-30,13.76,$1.42,9.69
2017-03-31,13.79,$1.40,9.85
2016-12-31,11.71,$1.50,7.8
2016-09-30,12.16,$1.51,8.06
2016-06-30,10.49,$1.56,6.73
2016-03-31,10.19,$1.61,6.33
2015-12-31,11.28,$1.47,7.67
2015-09-30,8.75,$1.39,6.29
2015-06-30,10.72,$1.21,8.86
