Repay Holdings PE Ratio Historical Data,Repay Holdings PE Ratio Historical Data,Repay Holdings PE Ratio Historical Data,Repay Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.78,,0.0
2024-12-31,7.63,$-0.12,0.0
2024-09-30,8.16,$-0.87,0.0
2024-06-30,10.56,$-0.97,0.0
2024-03-31,11.0,$-0.98,0.0
2023-12-31,8.54,$-1.22,0.0
2023-09-30,7.59,$-0.50,0.0
2023-06-30,7.83,$-0.38,0.0
2023-03-31,6.57,$-0.33,0.0
2022-12-31,8.05,$0.09,89.44
2022-09-30,7.06,$-0.01,0.0
2022-06-30,12.85,$-0.13,0.0
2022-03-31,14.77,$-0.28,0.0
2021-12-31,18.27,$-0.61,0.0
2021-09-30,23.03,$-0.56,0.0
2021-06-30,24.04,$-0.65,0.0
2021-03-31,23.48,$-0.80,0.0
2020-12-31,27.25,$-0.68,0.0
2020-09-30,23.5,$-0.34,0.0
2020-06-30,24.63,$-0.18,0.0
2020-03-31,14.35,$0.12,119.58
2019-12-31,14.65,$0.09,162.78
2019-09-30,13.33,$-0.24,0.0
2019-06-30,10.43,$-0.25,0.0
