Fate Therapeutics PE Ratio Historical Data,Fate Therapeutics PE Ratio Historical Data,Fate Therapeutics PE Ratio Historical Data,Fate Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.94,,0.0
2024-12-31,1.65,$-1.64,0.0
2024-09-30,3.5,$-1.65,0.0
2024-06-30,3.28,$-1.71,0.0
2024-03-31,7.34,$-1.92,0.0
2023-12-31,3.74,$-1.64,0.0
2023-09-30,2.12,$-1.77,0.0
2023-06-30,4.76,$-2.17,0.0
2023-03-31,5.7,$-2.42,0.0
2022-12-31,10.09,$-2.91,0.0
2022-09-30,22.41,$-3.05,0.0
2022-06-30,24.78,$-2.64,0.0
2022-03-31,38.77,$-2.43,0.0
2021-12-31,58.51,$-2.23,0.0
2021-09-30,59.27,$-2.12,0.0
2021-06-30,86.79,$-2.35,0.0
2021-03-31,82.45,$-2.12,0.0
2020-12-31,90.93,$-2.08,0.0
2020-09-30,39.97,$-1.84,0.0
2020-06-30,34.31,$-1.56,0.0
2020-03-31,22.21,$-1.57,0.0
2019-12-31,19.57,$-1.43,0.0
2019-09-30,15.53,$-1.31,0.0
2019-06-30,20.3,$-1.22,0.0
2019-03-31,17.57,$-1.23,0.0
2018-12-31,12.83,$-1.20,0.0
2018-09-30,16.29,$-1.24,0.0
2018-06-30,11.34,$-1.19,0.0
2018-03-31,9.76,$-1.05,0.0
2017-12-31,6.11,$-1.02,0.0
2017-09-30,3.96,$-0.94,0.0
2017-06-30,3.24,$-0.95,0.0
2017-03-31,4.55,$-1.01,0.0
2016-12-31,2.51,$-1.06,0.0
2016-09-30,3.12,$-1.11,0.0
2016-06-30,1.7,$-1.08,0.0
2016-03-31,1.8,$-1.12,0.0
2015-12-31,3.37,$-1.21,0.0
2015-09-30,5.33,$-1.25,0.0
2015-06-30,6.47,$-1.33,0.0
2015-03-31,4.89,$-1.30,0.0
2014-12-31,5.03,$-1.26,0.0
2014-09-30,5.1,$-1.25,0.0
