InTest PE Ratio Historical Data,InTest PE Ratio Historical Data,InTest PE Ratio Historical Data,InTest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.5,,68.18
2024-12-31,8.59,$0.11,78.09
2024-09-30,7.3,$0.23,31.74
2024-06-30,9.88,$0.43,22.98
2024-03-31,13.25,$0.65,20.38
2023-12-31,13.6,$0.85,16.0
2023-09-30,15.17,$1.03,14.73
2023-06-30,26.26,$1.02,25.75
2023-03-31,20.74,$0.98,21.16
2022-12-31,10.3,$0.78,13.21
2022-09-30,7.63,$0.51,14.96
2022-06-30,6.82,$0.48,14.21
2022-03-31,10.73,$0.52,20.63
2021-12-31,12.72,$0.68,18.71
2021-09-30,11.48,$0.61,18.82
2021-06-30,16.77,$0.45,37.27
2021-03-31,11.81,$0.23,51.35
2020-12-31,6.49,$-0.09,0.0
2020-09-30,4.5,$0.02,225.0
2020-06-30,3.37,$0.04,84.25
2020-03-31,2.66,0,0.0
2019-12-31,5.95,$0.22,27.05
2019-09-30,4.65,$0.07,66.43
2019-06-30,4.81,$-0.04,0.0
2019-03-31,6.72,$0.37,18.16
2018-12-31,6.13,$0.30,20.43
2018-09-30,7.75,$-0.06,0.0
2018-06-30,7.3,$0.18,40.56
2018-03-31,6.65,$-0.07,0.0
2017-12-31,8.65,$0.09,96.11
2017-09-30,8.3,$0.63,13.17
2017-06-30,6.65,$0.55,12.09
2017-03-31,6.4,$0.46,13.91
2016-12-31,4.6,$0.27,17.04
2016-09-30,4.0,$0.17,23.53
2016-06-30,3.81,$0.09,42.33
2016-03-31,3.9,$0.14,27.86
2015-12-31,4.23,$0.17,24.88
2015-09-30,4.2,$0.26,16.15
2015-06-30,4.36,$0.31,14.06
2015-03-31,4.1,$0.34,12.06
2014-12-31,4.25,$0.33,12.88
2014-09-30,4.76,$0.31,15.35
2014-06-30,3.89,$0.33,11.79
2014-03-31,4.01,$0.30,13.37
2013-12-31,3.8,$0.30,12.67
2013-09-30,3.96,$0.25,15.84
2013-06-30,3.79,$0.21,18.05
2013-03-31,3.07,$0.24,12.79
2012-12-31,2.76,$0.21,13.14
2012-09-30,2.54,$0.27,9.39
2012-06-30,3.28,$0.71,4.62
2012-03-31,3.44,$0.84,4.09
2011-12-31,2.69,$0.96,2.8
2011-09-30,2.56,$1.01,2.53
2011-06-30,3.25,$0.68,4.78
2011-03-31,3.56,$0.73,4.88
2010-12-31,2.47,$0.72,3.43
2010-09-30,2.89,$0.60,4.82
2010-06-30,3.29,$0.40,8.23
2010-03-31,1.53,$-0.11,0.0
2009-12-31,1.67,$-0.50,0.0
