Coeptis Therapeutics Holdings PE Ratio Historical Data,Coeptis Therapeutics Holdings PE Ratio Historical Data,Coeptis Therapeutics Holdings PE Ratio Historical Data,Coeptis Therapeutics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.8,,0.0
2024-09-30,0.18,$-5.80,0.0
2024-06-30,0.29,$-9.40,0.0
2024-03-31,0.3,$-10.60,0.0
2023-12-31,0.78,$-16.80,0.0
2023-09-30,1.16,$-15.20,0.0
2023-06-30,1.55,$-10.60,0.0
2023-03-31,1.44,$-7.80,0.0
2022-12-31,1.53,0,0.0
2022-09-30,10.19,0,0.0
2022-06-30,10.08,0,0.0
2022-03-31,10.09,0,0.0
2021-12-31,10.0,0,0.0
2021-09-30,9.95,0,0.0
