Structure Therapeutics PE Ratio Historical Data,Structure Therapeutics PE Ratio Historical Data,Structure Therapeutics PE Ratio Historical Data,Structure Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.87,,0.0
2024-12-31,27.12,$-0.79,0.0
2024-09-30,43.89,$-0.74,0.0
2024-06-30,39.27,$-0.75,0.0
2024-03-31,42.86,$-0.77,0.0
2023-12-31,40.76,$-0.83,0.0
