Semtech PE Ratio Historical Data,Semtech PE Ratio Historical Data,Semtech PE Ratio Historical Data,Semtech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.64,,0.0
2025-01-31,66.96,$-3.07,0.0
2024-10-31,44.19,$-13.05,0.0
2024-07-31,31.72,$-13.55,0.0
2024-04-30,37.62,$-16.91,0.0
2024-01-31,19.84,$-17.01,0.0
2023-10-31,13.96,$-7.83,0.0
2023-07-31,29.2,$-6.87,0.0
2023-04-30,19.49,$-0.09,0.0
2023-01-31,33.03,$0.96,34.41
2022-10-31,27.69,$2.29,12.09
2022-07-31,62.33,$2.46,25.34
2022-04-30,59.6,$2.15,27.72
2022-01-31,71.1,$1.92,37.03
2021-10-31,85.03,$1.63,52.17
2021-07-31,61.91,$1.38,44.86
2021-04-30,67.74,$1.12,60.48
2021-01-31,70.95,$0.91,77.97
2020-10-31,54.89,$0.71,77.31
2020-07-31,55.73,$0.69,80.77
2020-04-30,45.24,$0.53,85.36
2020-01-31,48.19,$0.58,83.09
2019-10-31,50.46,$0.74,68.19
2019-07-31,52.87,$0.66,80.11
2019-04-30,53.87,$0.95,56.71
2019-01-31,48.56,$0.93,52.22
2018-10-31,44.94,$0.71,63.3
2018-07-31,47.45,$0.73,65.0
2018-04-30,39.3,$0.55,71.45
2018-01-31,35.8,$0.55,65.09
2017-10-31,41.05,$0.69,59.49
2017-07-31,39.6,$0.95,41.68
2017-04-30,34.15,$0.90,37.94
2017-01-31,32.95,$0.83,39.7
2016-10-31,24.2,$0.73,33.15
2016-07-31,25.42,$0.43,59.12
2016-04-30,21.64,$0.29,74.62
2016-01-31,20.1,$0.18,111.67
2015-10-31,17.5,$-0.07,0.0
2015-07-31,17.59,$0.03,586.33
2015-04-30,23.29,$0.29,80.31
2015-01-31,25.46,$0.41,62.1
2014-10-31,25.38,$-2.48,0.0
2014-07-31,22.33,$-2.56,0.0
2014-04-30,23.98,$-2.54,0.0
2014-01-31,22.81,$-2.44,0.0
2013-10-31,31.11,$0.87,35.76
2013-07-31,30.25,$0.94,32.18
2013-04-30,32.07,$0.81,39.59
2013-01-31,30.16,$0.62,48.65
2012-10-31,24.97,$0.62,40.27
2012-07-31,23.89,$0.77,31.03
2012-04-30,27.26,$1.02,26.73
2012-01-31,28.48,$1.33,21.41
2011-10-31,24.42,$1.53,15.96
2011-07-31,23.3,$1.50,15.53
2011-04-30,28.07,$1.41,19.91
2011-01-31,21.84,$1.24,17.61
2010-10-31,21.41,$1.00,21.41
2010-07-31,17.38,$0.29,59.93
2010-04-30,18.17,$0.10,181.7
2010-01-31,14.98,$0.01,0.0
2009-10-31,15.47,$-0.04,0.0
