Spruce Power Holding PE Ratio Historical Data,Spruce Power Holding PE Ratio Historical Data,Spruce Power Holding PE Ratio Historical Data,Spruce Power Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.57,,0.0
2024-09-30,2.84,$-5.06,0.0
2024-06-30,3.65,$-3.29,0.0
2024-03-31,3.97,$-2.68,0.0
2023-12-31,4.42,$-3.59,0.0
2023-09-30,0.68,$-4.39,0.0
2023-06-30,0.81,$-4.48,0.0
2023-03-31,0.82,$-5.36,0.0
2022-12-31,0.92,$-5.20,0.0
2022-09-30,0.89,$-3.68,0.0
2022-06-30,1.15,$-2.88,0.0
2022-03-31,1.99,$-2.80,0.0
2021-12-31,3.31,$1.44,2.3
2021-09-30,6.16,$1.84,3.35
2021-06-30,8.33,$0.16,52.06
2021-03-31,8.98,$0.64,14.03
2020-12-31,23.73,$-2.80,0.0
2020-09-30,11.53,$-2.32,0.0
2020-06-30,10.15,$-0.24,0.0
