BioVie PE Ratio Historical Data,BioVie PE Ratio Historical Data,BioVie PE Ratio Historical Data,BioVie PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.15,,0.0
2024-12-31,2.0,$-9.76,0.0
2024-09-30,1.2,$-11.50,0.0
2024-06-30,0.4,$-13.70,0.0
2024-03-31,0.53,$-9.40,0.0
2023-12-31,1.26,$-11.70,0.0
2023-09-30,3.41,$-14.50,0.0
2023-06-30,4.31,$-15.40,0.0
2023-03-31,8.08,$-16.40,0.0
2022-12-31,7.77,$-14.90,0.0
2022-09-30,2.49,$-12.10,0.0
2022-06-30,1.45,$-10.60,0.0
2022-03-31,4.72,$-109.10,0.0
2021-12-31,4.5,$-106.30,0.0
2021-09-30,6.69,$-106.30,0.0
2021-06-30,16.95,$-181.50,0.0
2021-03-31,19.34,$-118.00,0.0
2020-12-31,17.32,$-118.00,0.0
