MBIA PE Ratio Historical Data,MBIA PE Ratio Historical Data,MBIA PE Ratio Historical Data,MBIA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.54,,0.0
2024-12-31,6.46,$-9.43,0.0
2024-09-30,3.57,$-11.30,0.0
2024-06-30,5.49,$-14.06,0.0
2024-03-31,6.76,$-10.18,0.0
2023-12-31,6.12,$-10.20,0.0
2023-09-30,3.28,$-8.31,0.0
2023-06-30,3.93,$-5.04,0.0
2023-03-31,4.21,$-4.30,0.0
2022-12-31,5.84,$-3.92,0.0
2022-09-30,4.18,$-5.99,0.0
2022-06-30,5.62,$-7.81,0.0
2022-03-31,7.0,$-8.32,0.0
2021-12-31,7.18,$-9.00,0.0
2021-09-30,5.84,$-7.52,0.0
2021-06-30,5.0,$-6.14,0.0
2021-03-31,4.37,$-6.60,0.0
2020-12-31,2.99,$-9.06,0.0
2020-09-30,2.76,$-10.63,0.0
2020-06-30,3.3,$-8.66,0.0
2020-03-31,3.25,$-8.99,0.0
2019-12-31,4.23,$-4.57,0.0
2019-09-30,4.2,$-1.44,0.0
2019-06-30,4.23,$-2.80,0.0
2019-03-31,4.33,$-2.42,0.0
2018-12-31,4.06,$-3.34,0.0
2018-09-30,4.86,$-3.65,0.0
2018-06-30,4.11,$-5.32,0.0
2018-03-31,4.21,$-13.46,0.0
2017-12-31,3.33,$-12.89,0.0
2017-09-30,3.96,$-14.51,0.0
2017-06-30,4.29,$-12.11,0.0
2017-03-31,3.85,$-2.53,0.0
2016-12-31,4.87,$-2.56,0.0
2016-09-30,3.54,$-0.01,0.0
2016-06-30,3.11,$-0.47,0.0
2016-03-31,4.02,$0.09,44.71
2015-12-31,2.95,$1.04,2.83
2015-09-30,2.76,$0.60,4.61
2015-06-30,2.73,$1.63,1.68
2015-03-31,4.23,$1.72,2.46
2014-12-31,4.34,$2.67,1.62
2014-09-30,4.17,$3.25,1.28
2014-06-30,5.02,$3.12,1.61
2014-03-31,6.36,$1.75,3.63
2013-12-31,5.43,$1.27,4.27
2013-09-30,4.65,$3.85,1.21
2013-06-30,6.05,$3.22,1.88
2013-03-31,4.67,$7.12,0.66
2012-12-31,3.57,$6.33,0.56
2012-09-30,4.61,$-0.16,0.0
2012-06-30,4.92,$2.06,2.39
2012-03-31,4.46,$-0.24,0.0
2011-12-31,5.27,$-5.97,0.0
2011-09-30,3.31,$-0.50,0.0
2011-06-30,3.95,$-3.82,0.0
2011-03-31,4.56,$1.82,2.51
2010-12-31,5.45,$0.28,19.47
2010-09-30,4.57,$-3.12,0.0
2010-06-30,2.55,$-5.56,0.0
2010-03-31,2.85,$-7.58,0.0
2009-12-31,1.81,$2.98,0.61
