Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,152.47,,33.81
2024-12-31,120.35,$4.51,26.69
2024-09-30,121.4,$6.30,19.27
2024-06-30,100.21,$5.65,17.74
2024-03-31,89.44,$5.12,17.47
2023-12-31,90.59,$5.02,18.05
2023-09-30,87.9,$5.15,17.07
2023-06-30,91.38,$5.17,17.68
2023-03-31,89.84,$5.59,16.07
2022-12-31,92.23,$5.81,15.88
2022-09-30,74.7,$5.61,13.32
2022-06-30,87.58,$5.82,15.05
2022-03-31,82.28,$5.78,14.24
2021-12-31,82.09,$5.83,14.08
2021-09-30,80.82,$5.76,14.03
2021-06-30,83.44,$5.69,14.66
2021-03-31,73.82,$5.55,13.3
2020-12-31,67.95,$5.17,13.14
2020-09-30,60.67,$4.94,12.28
2020-06-30,55.79,$4.68,11.92
2020-03-31,57.17,$4.92,11.62
2019-12-31,65.43,$4.62,14.16
2019-09-30,57.6,$4.81,11.97
2019-06-30,58.61,$5.03,11.65
2019-03-31,65.01,$4.95,13.13
2018-12-31,48.47,$5.08,9.54
2018-09-30,58.28,$4.29,13.59
2018-06-30,56.9,$4.12,13.81
2018-03-31,69.06,$3.85,17.94
2017-12-31,72.61,$3.87,18.76
2017-09-30,75.52,$4.53,16.67
2017-06-30,79.14,$4.51,17.55
2017-03-31,75.42,$4.52,16.69
2016-12-31,60.57,$4.48,13.52
2016-09-30,63.63,$4.18,15.22
2016-06-30,65.88,$4.18,15.76
2016-03-31,62.91,$4.24,14.84
2015-12-31,55.78,$4.42,12.62
2015-09-30,49.75,$4.65,10.7
2015-06-30,49.64,$4.78,10.38
2015-03-31,46.07,$4.74,9.72
2014-12-31,49.18,$4.76,10.33
2014-09-30,49.76,$4.97,10.01
2014-06-30,49.71,$5.03,9.88
2014-03-31,47.77,$5.16,9.26
2013-12-31,50.25,$5.26,9.55
2013-09-30,49.39,$5.27,9.37
2013-06-30,48.88,$5.15,9.49
2013-03-31,51.81,$5.21,9.94
2012-12-31,46.31,$5.18,8.94
2012-09-30,49.3,$5.01,9.84
2012-06-30,47.38,$5.04,9.4
2012-03-31,47.68,$5.03,9.48
2011-12-31,41.86,$4.84,8.65
2011-09-30,32.94,$4.72,6.98
2011-06-30,34.84,$4.36,7.99
2011-03-31,33.93,$4.08,8.32
2010-12-31,29.95,$3.92,7.64
2010-09-30,28.36,$3.76,7.54
2010-06-30,22.94,$3.70,6.2
2010-03-31,25.77,$3.42,7.54
2009-12-31,23.55,$3.26,7.22
