Iridium Communications Inc PE Ratio Historical Data,Iridium Communications Inc PE Ratio Historical Data,Iridium Communications Inc PE Ratio Historical Data,Iridium Communications Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.55,,29.0
2024-12-31,29.02,$0.95,30.55
2024-09-30,30.31,$0.94,32.24
2024-06-30,26.36,$0.72,36.61
2024-03-31,25.77,$0.21,122.71
2023-12-31,40.35,$0.13,310.4
2023-09-30,44.45,$-0.18,0.0
2023-06-30,60.54,$-0.15,0.0
2023-03-31,60.23,$0.13,463.31
2022-12-31,49.88,$0.07,712.63
2022-09-30,43.06,$0.04,1076.54
2022-06-30,36.45,$0.00,0.0
2022-03-31,39.13,$-0.01,0.0
2021-12-31,40.07,$-0.07,0.0
2021-09-30,38.67,$-0.09,0.0
2021-06-30,38.81,$-0.10,0.0
2021-03-31,40.03,$-0.22,0.0
2020-12-31,38.17,$-0.42,0.0
2020-09-30,24.83,$-1.18,0.0
2020-06-30,24.69,$-1.29,0.0
2020-03-31,21.67,$-1.36,0.0
2019-12-31,23.91,$-1.30,0.0
2019-09-30,20.65,$-0.57,0.0
2019-06-30,22.57,$-0.56,0.0
2019-03-31,25.66,$-0.46,0.0
2018-12-31,17.91,$-0.21,0.0
2018-09-30,21.84,$0.98,22.28
2018-06-30,15.63,$1.34,11.66
2018-03-31,10.92,$1.60,6.82
2017-12-31,11.45,$1.83,6.26
2017-09-30,10.0,$0.92,10.87
2017-06-30,10.72,$0.95,11.29
2017-03-31,9.37,$0.97,9.66
2016-12-31,9.32,$0.90,10.35
2016-09-30,7.87,$-0.06,0.0
2016-06-30,8.62,$-0.08,0.0
2016-03-31,7.64,$-0.09,0.0
2015-12-31,8.16,$-0.15,0.0
2015-09-30,5.97,$0.81,7.37
2015-06-30,8.82,$0.74,11.92
2015-03-31,9.42,$0.67,14.07
2014-12-31,9.46,$0.69,13.71
2014-09-30,8.59,$0.68,12.63
2014-06-30,8.21,$0.70,11.73
2014-03-31,7.29,$0.72,10.12
2013-12-31,6.07,$0.70,8.67
2013-09-30,6.68,$0.71,9.4
2013-06-30,7.53,$0.75,10.04
2013-03-31,5.85,$0.82,7.14
2012-12-31,6.52,$0.81,8.05
2012-09-30,7.1,$0.73,9.73
2012-06-30,8.68,$0.65,13.35
2012-03-31,8.5,$0.58,14.66
2011-12-31,7.48,$0.53,14.12
2011-09-30,6.02,$0.56,10.75
2011-06-30,8.39,$0.55,15.26
2011-03-31,7.74,$0.43,18.01
2010-12-31,8.01,$0.30,26.69
2010-09-30,8.29,$0.09,92.09
2010-06-30,9.74,$-0.86,0.0
2010-03-31,7.87,$-0.90,0.0
2009-12-31,7.79,$-0.88,0.0
