NACCO Industries PE Ratio Historical Data,NACCO Industries PE Ratio Historical Data,NACCO Industries PE Ratio Historical Data,NACCO Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.0,,7.42
2024-12-31,29.82,$4.58,6.51
2024-09-30,28.15,$-2.32,0.0
2024-06-30,27.25,$-4.97,0.0
2024-03-31,29.74,$-5.44,0.0
2023-12-31,35.71,$-5.29,0.0
2023-09-30,34.1,$2.43,14.03
2023-06-30,33.47,$4.39,7.62
2023-03-31,34.6,$9.12,3.79
2022-12-31,36.25,$10.08,3.6
2022-09-30,44.66,$9.31,4.8
2022-06-30,35.82,$11.33,3.16
2022-03-31,36.93,$7.17,5.15
2021-12-31,33.96,$6.70,5.07
2021-09-30,27.74,$4.86,5.71
2021-06-30,24.02,$2.53,9.49
2021-03-31,22.84,$2.48,9.21
2020-12-31,23.87,$2.11,11.31
2020-09-30,16.41,$3.79,4.33
2020-06-30,20.8,$4.12,5.05
2020-03-31,24.81,$4.40,5.64
2019-12-31,41.34,$5.67,7.29
2019-09-30,56.2,$6.33,8.88
2019-06-30,45.5,$6.19,7.35
2019-03-31,33.36,$5.97,5.59
2018-12-31,29.45,$5.00,5.89
2018-09-30,28.45,$4.90,5.81
2018-06-30,29.19,$4.80,6.08
2018-03-31,28.29,$4.87,5.81
2017-12-31,32.29,$4.42,7.31
2017-09-30,32.38,$6.48,5.0
2017-06-30,26.64,$5.18,5.14
2017-03-31,26.14,$4.64,5.63
2016-12-31,33.77,$4.32,7.82
2016-09-30,25.28,$3.42,7.39
2016-06-30,20.74,$3.94,5.27
2016-03-31,21.16,$3.45,6.13
2015-12-31,15.47,$3.18,4.87
2015-09-30,17.33,$-5.02,0.0
2015-06-30,22.04,$-4.45,0.0
2015-03-31,19.13,$-4.88,0.0
2014-12-31,21.34,$-5.21,0.0
2014-09-30,17.8,$3.21,5.54
2014-06-30,18.02,$3.73,4.83
2014-03-31,19.22,$4.83,3.98
2013-12-31,21.95,$5.55,3.95
2013-09-30,19.48,$5.51,3.54
2013-06-30,20.05,$8.49,2.36
2013-03-31,18.6,$10.46,1.78
2012-12-31,21.06,$12.93,1.63
2012-09-30,13.72,$16.59,0.83
2012-06-30,12.65,$15.12,0.84
2012-03-31,12.6,$14.80,0.85
2011-12-31,9.61,$19.28,0.5
2011-09-30,6.78,$17.40,0.39
2011-06-30,10.28,$15.97,0.64
2011-03-31,11.69,$15.60,0.75
2010-12-31,11.4,$9.52,1.2
2010-09-30,9.14,$10.05,0.91
2010-06-30,9.22,$7.96,1.16
2010-03-31,7.66,$6.24,1.23
2009-12-31,5.09,$3.74,1.36
