"Banco Santander, S.A PE Ratio Historical Data","Banco Santander, S.A PE Ratio Historical Data","Banco Santander, S.A PE Ratio Historical Data","Banco Santander, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.89,,11.88
2024-09-30,4.99,$0.58,8.6
2024-06-30,4.53,$0.77,5.88
2024-03-31,4.64,$0.72,6.44
2023-12-31,3.97,$0.70,5.67
2023-09-30,3.52,$0.66,5.33
2023-06-30,3.47,$0.61,5.69
2023-03-31,3.39,$0.58,5.85
2022-12-31,2.71,$0.58,4.68
2022-09-30,2.09,$0.58,3.6
2022-06-30,2.52,$0.58,4.34
2022-03-31,2.99,$0.57,5.24
2021-12-31,2.91,$0.51,5.7
2021-09-30,3.15,$0.47,6.65
2021-06-30,3.4,$0.34,9.91
2021-03-31,2.99,$0.30,10.01
2020-09-30,1.54,$0.31,4.95
2020-03-31,1.96,$0.34,5.77
2019-06-30,3.72,$0.45,8.2
2019-03-31,3.71,$0.47,7.85
2018-12-31,3.53,$0.50,7.05
2018-09-30,3.91,$0.46,8.45
2018-06-30,4.12,$0.43,9.49
2018-03-31,5.0,$0.44,11.26
2017-12-31,4.94,$0.42,11.63
2017-09-30,5.21,$0.43,11.98
2017-06-30,4.97,$0.45,10.96
2017-03-31,4.47,$0.43,10.51
2016-12-31,3.77,$0.42,9.08
2016-09-30,3.17,$0.42,7.64
2016-06-30,2.78,$0.42,6.69
2016-03-31,3.06,$0.45,6.75
2015-12-31,3.37,$0.46,7.29
2015-09-30,3.62,$0.48,7.52
2015-06-30,4.77,$0.52,9.19
2015-03-31,4.97,$0.55,9.07
2014-12-31,5.43,$0.58,9.43
2014-09-30,6.06,$0.57,10.7
2014-06-30,6.52,$0.55,11.9
2014-03-31,5.87,$0.52,11.3
2013-12-31,5.43,$0.52,10.45
2013-09-30,4.78,$0.45,10.54
2013-06-30,3.67,$0.33,11.11
2013-03-31,3.76,$0.22,17.33
2012-12-31,4.41,$0.27,16.11
2012-09-30,3.92,$0.24,16.62
2012-06-30,3.34,$0.49,6.8
2012-03-31,3.74,$0.79,4.71
2011-12-31,3.58,$0.89,4.03
2011-09-30,3.75,$1.16,3.23
2011-06-30,5.27,$1.13,4.65
2011-03-31,5.23,$1.13,4.61
2010-12-31,4.69,$1.14,4.1
2010-09-30,5.5,$1.19,4.62
2010-06-30,4.51,$1.31,3.43
2010-03-31,5.56,$1.36,4.09
2009-12-31,6.8,$1.36,5.0
