Tennant PE Ratio Historical Data,Tennant PE Ratio Historical Data,Tennant PE Ratio Historical Data,Tennant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,84.51,,19.29
2024-12-31,81.53,$4.38,18.61
2024-09-30,95.72,$5.67,16.88
2024-06-30,97.83,$5.79,16.9
2024-03-31,120.86,$6.02,20.08
2023-12-31,91.89,$5.83,15.76
2023-09-30,73.27,$5.46,13.42
2023-06-30,79.89,$5.08,15.73
2023-03-31,67.26,$4.29,15.68
2022-12-31,60.21,$3.54,17.01
2022-09-30,55.08,$2.69,20.47
2022-06-30,57.46,$3.00,19.15
2022-03-31,76.12,$2.62,29.05
2021-12-31,78.04,$3.44,22.68
2021-09-30,70.99,$3.15,22.54
2021-06-30,76.41,$2.64,28.94
2021-03-31,76.24,$2.90,26.29
2020-12-31,66.76,$1.81,36.89
2020-09-30,57.24,$2.27,25.21
2020-06-30,61.45,$2.43,25.29
2020-03-31,54.59,$2.47,22.1
2019-12-31,73.18,$2.48,29.51
2019-09-30,66.2,$2.31,28.66
2019-06-30,57.12,$2.04,28.0
2019-03-31,57.73,$1.92,30.07
2018-12-31,48.28,$1.81,26.68
2018-09-30,70.37,$1.21,58.16
2018-06-30,73.0,$0.89,82.02
2018-03-31,62.39,$0.05,1247.82
2017-12-31,66.75,$-0.35,0.0
2017-09-30,60.63,$0.68,89.16
2017-06-30,67.36,$1.12,60.14
2017-03-31,66.11,$2.12,31.18
2016-12-31,64.6,$2.59,24.94
2016-09-30,58.63,$2.47,23.74
2016-06-30,48.59,$1.78,27.3
2016-03-31,46.26,$1.72,26.89
2015-12-31,50.36,$1.74,28.94
2015-09-30,50.12,$1.94,25.84
2015-06-30,58.1,$2.62,22.17
2015-03-31,57.95,$2.66,21.78
2014-12-31,63.78,$2.70,23.62
2014-09-30,59.12,$2.32,25.48
2014-06-30,67.07,$2.25,29.81
2014-03-31,57.49,$2.18,26.37
2013-12-31,59.23,$2.14,27.68
2013-09-30,54.0,$2.32,23.28
2013-06-30,41.9,$2.22,18.87
2013-03-31,42.0,$2.17,19.36
2012-12-31,37.87,$2.18,17.37
2012-09-30,36.72,$2.04,18.0
2012-06-30,34.12,$2.08,16.4
2012-03-31,37.43,$1.67,22.41
2011-12-31,32.93,$1.69,19.49
2011-09-30,29.84,$1.98,15.07
2011-06-30,33.55,$1.87,17.94
2011-03-31,35.17,$1.89,18.61
2010-12-31,32.0,$1.80,17.78
2010-09-30,25.61,$1.27,20.17
2010-06-30,27.92,$1.19,23.46
2010-03-31,22.51,$1.03,21.85
2009-12-31,21.4,$-1.47,0.0
