WhiteHorse Finance PE Ratio Historical Data,WhiteHorse Finance PE Ratio Historical Data,WhiteHorse Finance PE Ratio Historical Data,WhiteHorse Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.25,,21.81
2024-12-31,9.68,$0.47,20.6
2024-09-30,11.33,$0.45,25.19
2024-06-30,11.64,$0.99,11.76
2024-03-31,11.41,$0.82,13.92
2023-12-31,10.97,$0.88,12.47
2023-09-30,11.06,$0.68,16.26
2023-06-30,10.8,$0.61,17.7
2023-03-31,10.24,$0.76,13.47
2022-12-31,10.31,$0.69,14.94
2022-09-30,8.49,$0.88,9.65
2022-06-30,9.79,$1.11,8.82
2022-03-31,10.92,$1.30,8.4
2021-12-31,10.96,$1.45,7.56
2021-09-30,10.43,$1.71,6.1
2021-06-30,9.99,$2.37,4.21
2021-03-31,9.94,$2.97,3.35
2020-12-31,8.71,$1.56,5.59
2020-09-30,6.03,$1.59,3.79
2020-06-30,6.13,$0.87,7.05
2020-03-31,4.09,$0.17,24.04
2019-12-31,7.59,$1.52,4.99
2019-09-30,7.42,$1.33,5.58
2019-06-30,7.14,$1.94,3.68
2019-03-31,7.19,$2.46,2.92
2018-12-31,6.28,$2.80,2.24
2018-09-30,6.87,$2.97,2.31
2018-06-30,6.99,$2.47,2.83
2018-03-31,5.85,$1.93,3.03
2017-12-31,6.15,$1.78,3.45
2017-09-30,6.59,$1.86,3.54
2017-06-30,5.83,$1.88,3.1
2017-03-31,5.87,$1.93,3.04
2016-12-31,5.05,$1.70,2.97
2016-09-30,4.41,$0.23,19.17
2016-06-30,4.23,$-0.14,0.0
2016-03-31,3.92,$-0.20,0.0
2015-12-31,4.19,$-0.18,0.0
2015-09-30,4.12,$1.04,3.96
2015-06-30,4.37,$1.25,3.49
2015-03-31,4.17,$1.21,3.45
2014-12-31,3.77,$1.32,2.86
2014-09-30,4.19,$1.50,2.8
2014-06-30,4.42,$1.59,2.78
2014-03-31,4.24,$1.46,2.9
2013-12-31,4.44,$1.26,3.52
2013-09-30,4.33,$0.84,5.16
