Energy Recovery PE Ratio Historical Data,Energy Recovery PE Ratio Historical Data,Energy Recovery PE Ratio Historical Data,Energy Recovery PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.31,,39.78
2024-12-31,14.7,$0.41,35.85
2024-09-30,17.39,$0.34,51.15
2024-06-30,13.29,$0.36,36.92
2024-03-31,15.79,$0.34,46.44
2023-12-31,18.84,$0.37,50.92
2023-09-30,21.21,$0.27,78.56
2023-06-30,27.95,$0.18,155.28
2023-03-31,23.05,$0.17,135.59
2022-12-31,20.49,$0.42,48.79
2022-09-30,21.74,$0.27,80.52
2022-06-30,19.42,$0.21,92.48
2022-03-31,20.14,$0.27,74.59
2021-12-31,21.49,$0.25,85.96
2021-09-30,19.03,$0.22,86.5
2021-06-30,22.78,$0.30,75.93
2021-03-31,18.34,$0.58,31.62
2020-12-31,13.64,$0.47,29.02
2020-09-30,8.2,$0.40,20.5
2020-06-30,7.6,$0.39,19.47
2020-03-31,7.44,$0.16,46.5
2019-12-31,9.79,$0.20,48.95
2019-09-30,9.27,$0.25,37.06
2019-06-30,10.42,$0.24,43.42
2019-03-31,8.73,$0.45,19.4
2018-12-31,6.73,$0.39,17.26
2018-09-30,8.95,$0.56,15.98
2018-06-30,8.08,$0.51,15.84
2018-03-31,8.22,$0.22,37.36
2017-12-31,8.75,$0.22,39.77
2017-09-30,7.9,$0.07,112.86
2017-06-30,8.29,$0.03,276.33
2017-03-31,8.32,$0.05,166.4
2016-12-31,10.35,$0.02,517.5
2016-09-30,15.98,$-0.03,0.0
2016-06-30,8.89,$-0.03,0.0
2016-03-31,10.34,$-0.10,0.0
2015-12-31,7.07,$-0.22,0.0
2015-09-30,2.14,$-0.32,0.0
2015-06-30,2.74,$-0.42,0.0
2015-03-31,2.59,$-0.45,0.0
2014-12-31,5.27,$-0.36,0.0
2014-09-30,3.54,$-0.14,0.0
2014-06-30,4.92,$-0.11,0.0
2014-03-31,5.32,$-0.05,0.0
2013-12-31,5.55,$-0.07,0.0
2013-09-30,7.24,$-0.24,0.0
2013-06-30,4.13,$-0.20,0.0
2013-03-31,3.7,$-0.16,0.0
2012-12-31,3.4,$-0.16,0.0
2012-09-30,2.95,$-0.31,0.0
2012-06-30,2.4,$-0.49,0.0
2012-03-31,2.3,$-0.56,0.0
2011-12-31,2.58,$-0.50,0.0
2011-09-30,3.0,$-0.30,0.0
2011-06-30,3.27,$-0.15,0.0
2011-03-31,3.18,$-0.10,0.0
2010-12-31,3.66,$-0.07,0.0
2010-09-30,3.59,$-0.05,0.0
2010-06-30,4.0,$0.03,133.33
2010-03-31,6.3,$0.04,157.5
2009-12-31,6.88,$0.07,98.29
