Wendy's PE Ratio Historical Data,Wendy's PE Ratio Historical Data,Wendy's PE Ratio Historical Data,Wendy's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.43,,16.24
2024-12-31,16.3,$0.95,17.16
2024-09-30,17.28,$0.95,18.19
2024-06-30,16.48,$0.98,16.81
2024-03-31,18.04,$0.99,18.23
2023-12-31,18.4,$0.98,18.78
2023-09-30,19.03,$0.94,20.24
2023-06-30,20.02,$0.90,22.25
2023-03-31,19.83,$0.84,23.6
2022-12-31,20.37,$0.82,24.84
2022-09-30,16.73,$0.87,19.23
2022-06-30,16.79,$0.81,20.73
2022-03-31,19.41,$0.88,22.06
2021-12-31,20.95,$0.89,23.54
2021-09-30,18.93,$0.82,23.09
2021-06-30,20.35,$0.81,25.12
2021-03-31,17.52,$0.63,27.82
2020-12-31,18.87,$0.51,37.01
2020-09-30,19.13,$0.45,42.52
2020-06-30,18.65,$0.48,38.85
2020-03-31,12.71,$0.51,24.92
2019-12-31,18.85,$0.59,31.95
2019-09-30,16.86,$0.56,30.12
2019-06-30,16.45,$1.96,8.39
2019-03-31,14.95,$1.94,7.71
2018-12-31,12.97,$1.88,6.9
2018-09-30,14.17,$2.44,5.81
2018-06-30,14.14,$0.90,15.71
2018-03-31,14.37,$0.77,18.66
2017-12-31,13.37,$0.78,17.14
2017-09-30,12.59,$0.25,50.35
2017-06-30,12.51,$0.37,33.82
2017-03-31,10.93,$0.48,22.78
2016-12-31,10.81,$0.48,22.51
2016-09-30,8.59,$0.68,12.63
2016-06-30,7.6,$0.53,14.35
2016-03-31,8.56,$0.54,15.85
2015-12-31,8.41,$0.52,16.17
2015-09-30,6.72,$0.27,24.88
2015-06-30,8.71,$0.30,29.02
2015-03-31,8.37,$0.27,31.01
2014-12-31,6.9,$0.32,21.57
2014-09-30,6.27,$0.34,18.45
2014-06-30,6.44,$0.28,23.0
2014-03-31,6.84,$0.23,29.75
2013-12-31,6.51,$0.12,54.25
2013-09-30,6.29,$0.10,62.95
2013-06-30,4.3,$0.03,143.32
2013-03-31,4.16,$-0.01,0.0
2012-12-31,3.42,$0.01,0.0
2012-09-30,3.26,$-0.04,0.0
2012-06-30,3.39,$0.02,169.42
2012-03-31,3.58,$0.06,59.68
2011-12-31,3.82,$0.03,127.2
2011-09-30,3.25,$-0.01,0.0
2011-06-30,3.58,0,0.0
2011-03-31,3.54,0,0.0
2010-12-31,3.24,$-0.01,0.0
2010-09-30,3.16,$-0.01,0.0
2010-06-30,2.78,$0.02,138.98
2010-03-31,3.46,$0.02,173.15
2009-12-31,3.24,$0.01,0.0
