Aclaris Therapeutics PE Ratio Historical Data,Aclaris Therapeutics PE Ratio Historical Data,Aclaris Therapeutics PE Ratio Historical Data,Aclaris Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.57,,0.0
2024-12-31,2.48,$-1.51,0.0
2024-09-30,1.15,$-0.52,0.0
2024-06-30,1.1,$-0.82,0.0
2024-03-31,1.24,$-1.09,0.0
2023-12-31,1.05,$-1.27,0.0
2023-09-30,6.85,$-1.66,0.0
2023-06-30,10.37,$-1.55,0.0
2023-03-31,8.09,$-1.44,0.0
2022-12-31,15.75,$-1.33,0.0
2022-09-30,15.74,$-1.29,0.0
2022-06-30,13.96,$-1.34,0.0
2022-03-31,17.24,$-1.37,0.0
2021-12-31,14.54,$-1.63,0.0
2021-09-30,18.0,$-1.56,0.0
2021-06-30,17.56,$-1.46,0.0
2021-03-31,25.2,$-1.40,0.0
2020-12-31,6.47,$-1.20,0.0
2020-09-30,2.57,$-1.35,0.0
2020-06-30,1.62,$-2.44,0.0
2020-03-31,1.04,$-3.37,0.0
2019-12-31,1.89,$-3.91,0.0
2019-09-30,1.08,$-4.45,0.0
2019-06-30,2.19,$-4.17,0.0
2019-03-31,5.99,$-3.97,0.0
2018-12-31,7.39,$-4.04,0.0
2018-09-30,14.52,$-3.79,0.0
2018-06-30,19.97,$-3.36,0.0
2018-03-31,17.52,$-2.91,0.0
2017-12-31,24.66,$-2.41,0.0
2017-09-30,25.81,$-2.16,0.0
2017-06-30,27.12,$-2.03,0.0
2017-03-31,29.82,$-2.09,0.0
2016-12-31,27.14,$-2.26,0.0
2016-09-30,25.61,$-2.05,0.0
