Eltek PE Ratio Historical Data,Eltek PE Ratio Historical Data,Eltek PE Ratio Historical Data,Eltek PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.67,,10.19
2024-09-30,10.91,$0.85,12.84
2024-06-30,9.75,$0.96,10.16
2024-03-31,11.14,$1.07,10.41
2023-12-31,13.95,$1.07,13.04
2023-09-30,9.33,$0.99,9.42
2023-06-30,9.21,$0.80,11.51
2023-03-31,4.09,$0.71,5.75
2022-12-31,4.05,$0.55,7.37
2022-09-30,3.37,$1.06,3.18
2022-06-30,3.56,$0.89,4.0
2022-03-31,3.86,$0.90,4.29
2021-12-31,3.52,$0.83,4.24
2021-09-30,5.47,$0.34,16.09
2021-06-30,5.79,$0.48,12.07
2021-03-31,5.88,$0.50,11.76
2020-12-31,4.76,$0.58,8.21
2020-09-30,4.5,$0.50,8.99
2020-06-30,3.76,$0.45,8.35
2020-03-31,3.35,$0.48,6.98
2019-12-31,3.41,$0.48,7.1
2019-09-30,3.09,$0.09,34.29
2019-06-30,4.12,$-0.23,0.0
2019-03-31,1.54,$-0.84,0.0
2018-12-31,2.01,$-1.29,0.0
2018-09-30,3.23,$-1.31,0.0
2018-06-30,3.69,$-1.67,0.0
2018-03-31,3.44,$-1.80,0.0
2017-12-31,3.86,$-1.87,0.0
2017-09-30,3.12,$-3.04,0.0
2017-06-30,3.31,$-2.65,0.0
2017-03-31,3.41,$-2.00,0.0
2016-12-31,3.74,$-1.80,0.0
2016-09-30,4.88,$-0.20,0.0
2016-06-30,5.1,$0.30,17.01
2016-03-31,5.06,$0.40,12.66
2015-12-31,6.01,$0.50,12.02
2015-09-30,5.92,$-0.50,0.0
2015-06-30,4.21,$-1.05,0.0
2015-03-31,5.73,$-1.30,0.0
2014-12-31,5.53,$-1.30,0.0
2014-09-30,7.38,$1.55,4.76
2014-06-30,7.15,$2.25,3.18
2014-03-31,10.56,$2.55,4.14
2013-12-31,11.36,$2.75,4.13
2013-09-30,6.15,$0.55,11.19
2013-06-30,5.3,$0.20,26.51
2013-03-31,6.44,$0.20,32.19
2012-12-31,5.21,$0.50,10.41
2012-09-30,5.06,$0.90,5.63
2012-06-30,6.01,$1.25,4.81
2012-03-31,7.76,$1.20,6.47
2011-12-31,6.15,$1.40,4.39
2011-09-30,4.54,$0.75,6.06
2011-06-30,6.2,$0.40,15.5
2011-03-31,5.44,$-0.20,0.0
2010-12-31,7.19,$-1.30,0.0
2010-09-30,5.16,$-1.35,0.0
2010-06-30,5.44,$-1.50,0.0
2010-03-31,5.92,$-1.25,0.0
2009-12-31,5.35,$-0.65,0.0
