Stratus Properties PE Ratio Historical Data,Stratus Properties PE Ratio Historical Data,Stratus Properties PE Ratio Historical Data,Stratus Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.21,,130.07
2024-09-30,25.99,$0.14,185.64
2024-06-30,25.22,$-0.16,0.0
2024-03-31,22.83,$-0.59,0.0
2023-12-31,28.86,$-1.86,0.0
2023-09-30,27.4,$-1.70,0.0
2023-06-30,26.25,$-1.64,0.0
2023-03-31,20.0,$10.53,1.9
2022-12-31,19.29,$11.51,1.68
2022-09-30,23.3,$11.51,2.02
2022-06-30,32.23,$11.34,2.84
2022-03-31,43.08,$-1.42,0.0
2021-12-31,36.57,$-0.61,0.0
2021-09-30,32.35,$-1.93,0.0
2021-06-30,24.67,$-3.31,0.0
2021-03-31,30.5,$-1.58,0.0
2020-12-31,25.5,$-2.79,0.0
2020-09-30,21.56,$-1.47,0.0
