Kopin PE Ratio Historical Data,Kopin PE Ratio Historical Data,Kopin PE Ratio Historical Data,Kopin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.38,,0.0
2024-09-30,0.73,$-0.41,0.0
2024-06-30,0.84,$-0.40,0.0
2024-03-31,1.8,$-0.42,0.0
2023-12-31,2.03,$-0.18,0.0
2023-09-30,1.22,$-0.19,0.0
2023-06-30,2.15,$-0.22,0.0
2023-03-31,1.09,$-0.21,0.0
2022-12-31,1.24,$-0.20,0.0
2022-09-30,1.05,$-0.17,0.0
2022-06-30,1.12,$-0.14,0.0
2022-03-31,2.53,$-0.12,0.0
2021-12-31,4.09,$-0.15,0.0
2021-09-30,5.13,$-0.09,0.0
2021-06-30,8.18,$-0.08,0.0
2021-03-31,10.49,$-0.05,0.0
2020-12-31,2.43,$-0.04,0.0
2020-09-30,1.38,$-0.15,0.0
2020-06-30,1.33,$-0.22,0.0
2020-03-31,0.35,$-0.26,0.0
2019-12-31,0.4,$-0.37,0.0
2019-09-30,0.68,$-0.43,0.0
2019-06-30,1.09,$-0.48,0.0
2019-03-31,1.34,$-0.56,0.0
2018-12-31,1.0,$-0.48,0.0
2018-09-30,2.42,$-0.37,0.0
2018-06-30,2.86,$-0.35,0.0
2018-03-31,3.12,$-0.32,0.0
2017-12-31,3.2,$-0.37,0.0
2017-09-30,4.17,$-0.41,0.0
2017-06-30,3.71,$-0.42,0.0
2017-03-31,4.1,$-0.37,0.0
2016-12-31,2.84,$-0.36,0.0
2016-09-30,2.18,$-0.39,0.0
2016-06-30,2.22,$-0.34,0.0
2016-03-31,1.66,$-0.28,0.0
2015-12-31,2.72,$-0.23,0.0
2015-09-30,3.14,$-0.20,0.0
2015-06-30,3.45,$-0.21,0.0
2015-03-31,3.52,$-0.36,0.0
2014-12-31,3.62,$-0.45,0.0
2014-09-30,3.4,$-0.53,0.0
2014-06-30,3.26,$-0.59,0.0
2014-03-31,3.78,$-0.57,0.0
2013-12-31,4.22,$-0.08,0.0
2013-09-30,4.02,$0.02,201.0
2013-06-30,3.71,$0.05,74.2
2013-03-31,3.7,$0.08,46.25
2012-12-31,3.33,$-0.29,0.0
2012-09-30,3.76,$-0.23,0.0
2012-06-30,3.44,$-0.11,0.0
2012-03-31,4.07,$-0.01,0.0
2011-12-31,3.88,$0.05,77.6
2011-09-30,3.43,$0.12,28.58
2011-06-30,4.71,$0.13,36.23
2011-03-31,4.58,$0.15,30.53
2010-12-31,4.16,$0.14,29.71
2010-09-30,3.55,$0.15,23.67
2010-06-30,3.39,$0.26,13.04
2010-03-31,3.7,$0.28,13.21
2009-12-31,4.18,$0.29,14.41
