PhenixFIN PE Ratio Historical Data,PhenixFIN PE Ratio Historical Data,PhenixFIN PE Ratio Historical Data,PhenixFIN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.69,,6.59
2024-12-31,50.64,$8.15,6.21
2024-09-30,47.61,$9.12,5.22
2024-06-30,46.77,$9.63,4.86
2024-03-31,42.86,$12.60,3.4
2023-12-31,41.06,$13.18,3.12
2023-09-30,36.83,$12.87,2.86
2023-06-30,36.93,$7.32,5.05
2023-03-31,35.96,$-1.13,0.0
2022-12-31,30.18,$-3.09,0.0
2022-09-30,33.9,$-3.06,0.0
2022-06-30,35.34,$-3.67,0.0
2022-03-31,39.62,$3.12,12.7
2021-12-31,40.51,$4.75,8.53
2021-09-30,41.55,$0.48,86.57
2021-06-30,39.52,$3.58,11.04
2021-03-31,31.89,$3.77,8.46
2020-12-31,27.42,$-28.10,0.0
2020-09-30,17.27,$-24.14,0.0
2020-06-30,0.74,$-36.21,0.0
2020-03-31,0.56,$-50.20,0.0
2019-12-31,1.88,$-30.20,0.0
2019-09-30,2.18,$-35.40,0.0
2019-06-30,1.97,$-32.40,0.0
2019-03-31,2.62,$-31.00,0.0
2018-12-31,2.24,$-32.60,0.0
2018-09-30,3.22,$-40.80,0.0
2018-06-30,2.92,$-36.60,0.0
2018-03-31,3.35,$-25.60,0.0
2017-12-31,4.4,$-19.40,0.0
2017-09-30,4.89,$-5.20,0.0
2017-06-30,5.1,$-2.00,0.0
2017-03-31,6.14,$2.00,3.07
2016-12-31,5.99,$6.60,0.91
2016-09-30,5.93,$-9.80,0.0
2016-06-30,5.2,$-14.40,0.0
2016-03-31,4.9,$-16.80,0.0
2015-12-31,5.58,$-13.00,0.0
2015-09-30,5.52,$-5.20,0.0
2015-06-30,6.38,$3.80,1.68
2015-03-31,6.35,$7.60,0.84
2014-12-31,6.21,$9.20,0.68
2014-09-30,7.69,$22.60,0.34
2014-06-30,8.51,$28.00,0.3
2014-03-31,8.61,$23.40,0.37
2013-12-31,8.76,$25.80,0.34
2013-09-30,8.5,$26.40,0.32
2013-06-30,8.15,$25.20,0.32
2013-03-31,9.29,$28.80,0.32
2012-12-31,8.33,$27.60,0.3
2012-09-30,7.84,$24.80,0.32
2012-06-30,6.52,$22.00,0.3
2012-03-31,5.94,$21.00,0.28
2011-12-31,5.35,$16.20,0.33
