Tronox Holdings PE Ratio Historical Data,Tronox Holdings PE Ratio Historical Data,Tronox Holdings PE Ratio Historical Data,Tronox Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.41,,0.0
2024-12-31,10.07,$-0.31,0.0
2024-09-30,14.48,$-0.48,0.0
2024-06-30,15.39,$-0.41,0.0
2024-03-31,16.91,$-2.23,0.0
2023-12-31,13.69,$-2.02,0.0
2023-09-30,12.85,$-1.75,0.0
2023-06-30,12.04,$-0.89,0.0
2023-03-31,13.47,$3.20,4.21
2022-12-31,12.75,$3.15,4.05
2022-09-30,11.28,$3.76,3.0
2022-06-30,15.36,$3.69,4.16
2022-03-31,17.96,$1.78,10.09
2021-12-31,21.66,$1.80,12.04
2021-09-30,22.13,$1.59,13.92
2021-06-30,20.0,$7.07,2.83
2021-03-31,16.29,$6.58,2.48
2020-12-31,12.95,$6.68,1.94
2020-09-30,6.93,$6.37,1.09
2020-06-30,6.31,$0.10,63.09
2020-03-31,4.3,$-0.28,0.0
2019-12-31,9.76,$-0.77,0.0
2019-09-30,7.07,$-0.82,0.0
2019-06-30,10.81,$-0.68,0.0
2019-03-31,11.08,$0.02,553.99
2018-12-31,6.53,$-0.07,0.0
2018-09-30,9.99,$-0.02,0.0
2018-06-30,16.41,$-2.14,0.0
2018-03-31,15.33,$-2.41,0.0
2017-12-31,17.02,$-2.40,0.0
2017-09-30,17.48,$-1.40,0.0
2017-06-30,12.49,$0.32,39.04
2017-03-31,15.21,$-0.12,0.0
2016-12-31,8.48,$-0.55,0.0
2016-09-30,7.67,$-2.33,0.0
2016-06-30,3.59,$-2.50,0.0
2016-03-31,5.15,$-3.11,0.0
2015-12-31,3.01,$-2.75,0.0
2015-09-30,3.21,$-4.37,0.0
2015-06-30,10.44,$-4.67,0.0
2015-03-31,14.31,$-3.64,0.0
2014-12-31,16.6,$-3.73,0.0
2014-09-30,17.92,$-1.39,0.0
2014-06-30,18.34,$-1.00,0.0
2014-03-31,16.04,$-1.11,0.0
2013-12-31,15.41,$-1.10,0.0
2013-09-30,16.16,$-1.86,0.0
2013-06-30,13.16,$-1.57,0.0
2013-03-31,12.79,$12.21,1.05
2012-12-31,11.64,$13.81,0.84
2012-09-30,14.22,$15.48,0.92
2012-06-30,14.98,$16.87,0.89
2012-03-31,21.62,$4.03,5.36
2011-12-31,14.89,$2.94,5.07
2011-09-30,9.68,$2.09,4.64
