Myomo PE Ratio Historical Data,Myomo PE Ratio Historical Data,Myomo PE Ratio Historical Data,Myomo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.42,,0.0
2024-12-31,6.44,$-0.16,0.0
2024-09-30,4.01,$-0.23,0.0
2024-06-30,3.21,$-0.26,0.0
2024-03-31,3.27,$-0.27,0.0
2023-12-31,5.01,$-0.28,0.0
2023-09-30,1.11,$-0.50,0.0
2023-06-30,0.52,$-0.84,0.0
2023-03-31,0.75,$-1.22,0.0
2022-12-31,0.51,$-1.52,0.0
2022-09-30,1.62,$-1.75,0.0
2022-06-30,1.68,$-1.71,0.0
2022-03-31,3.81,$-1.75,0.0
2021-12-31,6.85,$-1.91,0.0
2021-09-30,11.89,$-1.76,0.0
2021-06-30,10.8,$-2.10,0.0
2021-03-31,12.8,$-2.76,0.0
2020-12-31,6.73,$-4.70,0.0
2020-09-30,4.48,$-9.14,0.0
2020-06-30,3.69,$-13.24,0.0
2020-03-31,3.57,$-16.63,0.0
2019-12-31,9.02,$-19.22,0.0
2019-09-30,18.45,$-21.02,0.0
2019-06-30,21.0,$-22.52,0.0
2019-03-31,36.0,$-24.32,0.0
2018-12-31,43.2,$-25.23,0.0
2018-09-30,58.2,$-26.13,0.0
2018-06-30,88.8,$-26.13,0.0
2018-03-31,89.1,$-120.42,0.0
