Four Seasons Education (Cayman) PE Ratio Historical Data,Four Seasons Education (Cayman) PE Ratio Historical Data,Four Seasons Education (Cayman) PE Ratio Historical Data,Four Seasons Education (Cayman) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.39,,0.0
2024-08-31,17.01,$-1.20,0.0
2021-02-28,27.66,$-1.80,0.0
2020-11-30,16.74,$-9.80,0.0
2020-08-31,17.19,$-8.60,0.0
2020-05-31,21.05,$-7.80,0.0
2020-02-29,26.75,$-7.00,0.0
2019-11-30,34.03,$0.80,42.54
2019-08-31,38.58,$0.40,96.45
2019-05-31,39.59,$1.00,39.59
2019-02-28,32.18,$1.20,26.82
2018-11-30,66.21,$3.00,22.07
