UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,511.3,,32.99
2024-12-31,505.86,$15.50,32.64
2024-09-30,582.5,$15.35,37.95
2024-06-30,505.56,$15.08,33.53
2024-03-31,489.0,$16.36,29.89
2023-12-31,518.36,$23.84,21.74
2023-09-30,494.73,$23.04,21.47
2023-06-30,469.78,$22.35,21.02
2023-03-31,460.06,$21.87,21.04
2022-12-31,514.28,$21.19,24.27
2022-09-30,488.39,$20.42,23.92
2022-06-30,495.14,$19.15,25.86
2022-03-31,489.84,$18.27,26.81
2021-12-31,480.87,$18.08,26.6
2021-09-30,372.99,$16.12,23.14
2021-06-30,380.88,$15.14,25.16
2021-03-31,352.58,$17.59,20.04
2020-12-31,331.15,$16.03,20.66
2020-09-30,293.36,$17.41,16.85
2020-06-30,276.39,$17.78,15.54
2020-03-31,232.68,$14.29,16.28
2019-12-31,273.21,$14.33,19.07
2019-09-30,201.19,$13.75,14.63
2019-06-30,224.86,$13.32,16.88
2019-03-31,226.86,$12.88,17.61
2018-12-31,227.7,$12.19,18.68
2018-09-30,242.39,$12.74,19.03
2018-06-30,222.79,$12.01,18.55
2018-03-31,193.65,$11.35,17.06
2017-12-31,198.83,$10.71,18.57
2017-09-30,176.06,$9.02,19.52
2017-06-30,166.05,$8.54,19.44
2017-03-31,146.27,$8.03,18.22
2016-12-31,142.2,$7.47,19.04
2016-09-30,123.91,$6.77,18.3
2016-06-30,124.39,$6.39,19.47
2016-03-31,113.04,$6.22,18.17
2015-12-31,102.74,$6.01,17.1
2015-09-30,100.89,$6.30,16.01
2015-06-30,105.64,$6.28,16.82
2015-03-31,102.0,$6.06,16.83
2014-12-31,86.88,$5.70,15.24
2014-09-30,73.85,$5.56,13.28
2014-06-30,69.7,$5.46,12.77
2014-03-31,69.57,$5.44,12.79
2013-12-31,63.67,$5.50,11.58
2013-09-30,60.32,$5.29,11.4
2013-06-30,54.95,$5.26,10.45
2013-03-31,47.8,$5.13,9.32
2012-12-31,45.14,$5.28,8.55
2012-09-30,45.94,$5.25,8.75
2012-06-30,48.3,$4.92,9.82
2012-03-31,48.49,$4.81,10.08
2011-12-31,41.57,$4.72,8.81
2011-09-30,37.71,$4.49,8.4
2011-06-30,42.02,$4.46,9.42
2011-03-31,36.7,$4.29,8.55
2010-12-31,29.24,$4.10,7.13
2010-09-30,28.34,$3.97,7.14
2010-06-30,22.84,$3.72,6.14
2010-03-31,26.14,$3.46,7.55
2009-12-31,24.39,$3.24,7.53
