ATA PE Ratio Historical Data,ATA PE Ratio Historical Data,ATA PE Ratio Historical Data,ATA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.92,,0.0
2024-09-30,0.77,$-0.18,0.0
2024-06-30,0.82,$-0.16,0.0
2024-03-31,1.06,$-0.16,0.0
2023-12-31,1.16,$-0.16,0.0
2023-09-30,1.12,$-0.19,0.0
2023-06-30,1.43,$-0.21,0.0
2023-03-31,1.93,$-0.23,0.0
2022-12-31,1.27,$-0.23,0.0
2022-09-30,1.71,$-0.26,0.0
2022-06-30,1.06,$-0.34,0.0
2022-03-31,1.48,$-0.18,0.0
2021-12-31,1.07,$-0.20,0.0
2021-09-30,2.34,$-0.32,0.0
2021-06-30,3.08,$-0.10,0.0
2021-03-31,4.37,$-0.32,0.0
2020-12-31,1.19,$-0.32,0.0
2020-09-30,1.11,$-0.54,0.0
2020-06-30,1.26,$-0.76,0.0
2020-03-31,0.95,$-0.70,0.0
2019-12-31,1.36,$-0.70,0.0
2019-09-30,1.63,$6.02,0.27
2019-06-30,2.7,$6.50,0.42
2019-03-31,0.99,$6.50,0.15
2018-09-30,1.05,$6.50,0.16
2017-12-31,2.4,$0.62,3.87
2017-09-30,2.52,$0.04,62.96
2017-06-30,2.36,$0.16,14.73
2016-12-31,1.75,$0.16,10.93
2016-09-30,1.92,$0.02,96.03
2016-06-30,2.18,$0.16,13.62
2016-03-31,2.44,$0.18,13.57
2015-12-31,3.02,$0.18,16.8
2015-09-30,1.19,$0.02,59.32
2015-06-30,2.73,$0.18,15.14
2015-03-31,1.93,$0.16,12.06
2014-12-31,2.05,$0.16,12.83
2014-09-30,2.11,$0.23,9.17
2014-06-30,2.19,$0.14,15.64
2014-03-31,1.87,$0.18,10.41
2013-12-31,1.89,$0.24,7.87
2013-09-30,2.27,$0.23,9.85
2013-06-30,2.0,$0.20,10.0
2013-03-31,1.88,$0.18,10.46
2012-12-31,3.28,$0.24,13.67
2012-09-30,2.57,$0.26,9.87
2012-06-30,1.93,$0.32,6.03
2012-03-31,3.16,$0.36,8.76
2011-12-31,3.4,$0.30,11.35
2011-09-30,4.09,$0.26,15.72
2011-06-30,4.54,$0.16,28.38
2011-03-31,3.47,$0.14,24.8
2010-12-31,1.58,$-0.07,0.0
2010-09-30,1.28,$-0.25,0.0
2010-06-30,1.3,$-0.26,0.0
2010-03-31,1.75,$-0.24,0.0
2009-12-31,1.94,$-0.02,0.0
