Sabra Healthcare REIT PE Ratio Historical Data,Sabra Healthcare REIT PE Ratio Historical Data,Sabra Healthcare REIT PE Ratio Historical Data,Sabra Healthcare REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.33,,32.7
2024-12-31,17.32,$0.53,32.68
2024-09-30,18.31,$0.41,44.65
2024-06-30,14.87,$0.21,70.81
2024-03-31,13.97,$0.20,69.85
2023-12-31,13.21,$0.05,264.1
2023-09-30,12.63,$-0.39,0.0
2023-06-30,10.41,$-0.54,0.0
2023-03-31,9.9,$-0.56,0.0
2022-12-31,10.47,$-0.34,0.0
2022-09-30,10.77,$-0.08,0.0
2022-06-30,11.26,$0.19,59.26
2022-03-31,11.73,$-0.49,0.0
2021-12-31,10.42,$-0.51,0.0
2021-09-30,11.1,$-0.22,0.0
2021-06-30,13.47,$-0.09,0.0
2021-03-31,12.63,$0.66,19.14
2020-12-31,12.43,$0.67,18.55
2020-09-30,9.69,$0.69,14.04
2020-06-30,9.94,$0.63,15.78
2020-03-31,7.34,$0.95,7.72
2019-12-31,14.04,$0.34,41.29
2019-09-30,14.81,$0.03,493.57
2019-06-30,12.44,$0.11,113.08
2019-03-31,12.02,$0.73,16.47
2018-12-31,9.95,$1.51,6.59
2018-09-30,13.65,$2.19,6.23
2018-06-30,12.58,$2.10,5.99
2018-03-31,9.98,$1.29,7.74
2017-12-31,10.33,$1.20,8.61
2017-09-30,11.71,$0.94,12.45
2017-06-30,12.64,$1.18,10.72
2017-03-31,14.39,$1.44,9.99
2016-12-31,12.38,$0.91,13.6
2016-09-30,12.5,$0.94,13.3
2016-06-30,10.07,$0.83,12.14
2016-03-31,9.61,$0.54,17.8
2015-12-31,9.42,$1.10,8.57
2015-09-30,10.56,$1.11,9.52
2015-06-30,11.55,$1.18,9.79
2015-03-31,14.66,$1.22,12.01
2014-12-31,13.26,$0.69,19.22
2014-09-30,10.48,$0.61,17.17
2014-06-30,12.2,$0.54,22.59
2014-03-31,11.7,$0.17,68.8
2013-12-31,10.82,$0.67,16.15
2013-09-30,9.4,$0.51,18.43
2013-06-30,10.52,$0.41,25.66
2013-03-31,11.57,$0.66,17.52
2012-12-31,8.55,$0.53,16.13
2012-09-30,7.76,$0.61,12.71
2012-06-30,6.51,$0.54,12.06
2012-03-31,6.12,$0.46,13.31
2011-12-31,4.41,$0.39,11.31
2011-09-30,3.38,$0.20,16.9
2011-06-30,5.75,$0.52,11.06
2011-03-31,5.95,$1.10,5.41
2010-12-31,6.22,$1.74,3.57
2010-09-30,7.13,$2.34,3.05
2010-06-30,6.8,$2.61,2.61
2010-03-31,8.03,$2.64,3.04
2009-12-31,7.72,$2.64,2.92
