Papa John's PE Ratio Historical Data,Papa John's PE Ratio Historical Data,Papa John's PE Ratio Historical Data,Papa John's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.45,,18.04
2024-12-31,41.07,$2.52,16.3
2024-09-30,53.36,$2.87,18.59
2024-06-30,46.08,$2.08,22.15
2024-03-31,64.74,$2.25,28.77
2023-12-31,73.63,$2.46,29.93
2023-09-30,65.43,$2.33,28.08
2023-06-30,70.41,$2.08,33.85
2023-03-31,71.07,$2.24,31.73
2022-12-31,77.72,$1.88,41.34
2022-09-30,65.77,$1.89,34.8
2022-06-30,78.11,$2.45,31.88
2022-03-31,98.04,$-0.55,0.0
2021-12-31,123.93,$-0.02,0.0
2021-09-30,117.6,$-0.41,0.0
2021-06-30,96.45,$-0.85,0.0
2021-03-31,81.67,$1.93,42.32
2020-12-31,78.0,$1.26,61.91
2020-09-30,75.42,$0.80,94.28
2020-06-30,72.62,$0.35,207.48
2020-03-31,48.67,$0.02,2433.51
2019-12-31,57.39,$-0.25,0.0
2019-09-30,47.4,$-0.51,0.0
2019-06-30,40.3,$-0.82,0.0
2019-03-31,47.51,$-0.61,0.0
2018-12-31,35.53,$0.01,3553.41
2018-09-30,45.59,$1.26,36.18
2018-06-30,44.84,$2.27,19.75
2018-03-31,50.44,$2.56,19.7
2017-12-31,49.2,$2.83,17.38
2017-09-30,63.82,$2.90,22.01
2017-06-30,62.5,$2.87,21.78
2017-03-31,69.54,$2.83,24.57
2016-12-31,74.17,$2.75,26.97
2016-09-30,68.16,$2.49,27.37
2016-06-30,58.63,$2.37,24.74
2016-03-31,46.59,$2.03,22.95
2015-12-31,47.85,$1.89,25.32
2015-09-30,58.47,$1.79,32.66
2015-06-30,64.4,$1.73,37.23
2015-03-31,52.53,$1.86,28.24
2014-12-31,47.32,$1.76,26.89
2014-09-30,33.82,$1.65,20.5
2014-06-30,35.73,$1.59,22.54
2014-03-31,43.79,$1.57,27.89
2013-12-31,38.05,$1.55,24.63
2013-09-30,29.19,$1.51,19.39
2013-06-30,27.2,$1.46,18.7
2013-03-31,25.73,$1.38,18.71
2012-12-31,22.86,$1.30,17.65
2012-09-30,22.23,$1.25,17.78
2012-06-30,19.8,$1.20,16.57
2012-03-31,15.67,$1.13,13.93
2011-12-31,15.68,$1.10,14.26
2011-09-30,12.65,$1.05,12.05
2011-06-30,13.84,$0.98,14.12
2011-03-31,13.18,$0.99,13.31
2010-12-31,11.53,$0.98,11.76
2010-09-30,10.97,$0.95,11.54
2010-06-30,9.62,$1.01,9.53
2010-03-31,10.7,$1.02,10.49
2009-12-31,9.72,$1.03,9.44
