Bluejay Diagnostics PE Ratio Historical Data,Bluejay Diagnostics PE Ratio Historical Data,Bluejay Diagnostics PE Ratio Historical Data,Bluejay Diagnostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.95,,0.0
2024-09-30,0.13,"$-1,372.00",0.0
2024-06-30,0.7,"$-2,196.00",0.0
2024-03-31,0.8,"$-3,040.00",0.0
2023-12-31,1.22,"$-3,604.00",0.0
2023-09-30,4.33,"$-3,852.00",0.0
2023-06-30,0.26,"$-4,220.00",0.0
2023-03-31,0.41,"$-3,920.00",0.0
2022-12-31,0.38,"$-3,760.00",0.0
2022-09-30,0.78,"$-3,520.00",0.0
