Diana Shipping Inc PE Ratio Historical Data,Diana Shipping Inc PE Ratio Historical Data,Diana Shipping Inc PE Ratio Historical Data,Diana Shipping Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.78,,59.33
2024-09-30,2.56,$0.03,85.2
2024-06-30,2.76,$0.09,30.67
2024-03-31,2.72,$0.22,12.36
2023-12-31,2.72,$0.43,6.34
2023-09-30,2.92,$0.64,4.56
2023-06-30,2.98,$0.95,3.14
2023-03-31,3.03,$1.28,2.37
2022-12-31,2.93,$1.37,2.14
2022-09-30,2.59,$1.58,1.64
2022-06-30,3.29,$1.37,2.4
2022-03-31,3.57,$0.97,3.68
2021-12-31,2.48,$0.63,3.94
2021-09-30,3.28,$0.05,65.54
2021-06-30,2.99,$-0.28,0.0
2021-03-31,1.71,$-0.44,0.0
2020-12-31,1.11,$-1.62,0.0
2020-09-30,0.81,$-1.69,0.0
2020-06-30,0.86,$-1.52,0.0
2020-03-31,0.85,$-1.41,0.0
2019-12-31,1.78,$-0.18,0.0
2019-09-30,1.94,0,0.0
2019-06-30,1.9,$0.13,14.59
2019-03-31,1.62,$0.16,10.1
2018-12-31,1.82,$0.10,18.22
2018-09-30,2.36,$-4.19,0.0
2018-06-30,2.76,$-4.57,0.0
2018-03-31,2.1,$-4.83,0.0
2017-12-31,2.33,$-5.13,0.0
2017-09-30,2.08,$-1.16,0.0
2017-06-30,2.33,$-1.90,0.0
2017-03-31,2.65,$-2.05,0.0
2016-12-31,1.73,$-2.12,0.0
2016-09-30,1.5,$-2.11,0.0
2016-06-30,1.39,$-1.36,0.0
2016-03-31,1.53,$-1.14,0.0
2015-12-31,2.49,$-0.88,0.0
2015-09-30,3.71,$-0.68,0.0
2015-06-30,4.04,$-0.36,0.0
2015-03-31,3.51,$-0.26,0.0
2014-12-31,3.84,$-0.19,0.0
2014-09-30,5.12,$-0.21,0.0
2014-06-30,6.24,$-0.33,0.0
2014-03-31,6.87,$-0.30,0.0
2013-12-31,7.61,$-0.26,0.0
2013-09-30,6.92,$-0.08,0.0
2013-06-30,5.75,$0.11,52.29
2013-03-31,6.11,$0.38,16.07
2012-12-31,4.18,$0.67,6.24
2012-09-30,3.7,$0.86,4.3
2012-06-30,4.46,$1.04,4.29
2012-03-31,5.13,$1.17,4.38
2011-12-31,4.29,$1.33,3.22
2011-09-30,4.25,$1.48,2.87
2011-06-30,6.28,$1.57,4.0
2011-03-31,6.78,$1.65,4.11
2010-12-31,6.64,$1.60,4.15
2010-09-30,7.01,$1.54,4.55
2010-06-30,6.22,$1.48,4.2
2010-03-31,8.35,$1.45,5.76
2009-12-31,7.99,$1.56,5.12
