1stdibs PE Ratio Historical Data,1stdibs PE Ratio Historical Data,1stdibs PE Ratio Historical Data,1stdibs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.03,,0.0
2024-12-31,3.54,$-0.49,0.0
2024-09-30,4.41,$-0.42,0.0
2024-06-30,4.49,$-0.35,0.0
2024-03-31,5.96,$-0.44,0.0
2023-12-31,4.68,$-0.57,0.0
2023-09-30,3.64,$-0.68,0.0
2023-06-30,3.74,$-0.83,0.0
2023-03-31,3.97,$-0.63,0.0
2022-12-31,5.08,$-0.59,0.0
2022-09-30,6.29,$-0.62,0.0
2022-06-30,5.69,$-0.56,0.0
2022-03-31,7.99,$-0.99,0.0
