Heatwurx PE Ratio Historical Data,Heatwurx PE Ratio Historical Data,Heatwurx PE Ratio Historical Data,Heatwurx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.43,,0.0
2024-09-30,1.37,$-3.39,0.0
2024-06-30,2.24,$-3.96,0.0
2024-03-31,2.37,$-4.95,0.0
2023-12-31,0.33,$-7.44,0.0
2023-09-30,0.25,$-23.20,0.0
2023-06-30,0.5,$-29.00,0.0
2023-03-31,0.5,$-33.40,0.0
2022-12-31,1.1,$-33.80,0.0
2022-09-30,2.26,$-22.00,0.0
2022-06-30,2.81,$-18.40,0.0
2022-03-31,3.01,$-16.00,0.0
2021-12-31,4.9,$-14.80,0.0
2021-09-30,8.57,$-44.40,0.0
2021-06-30,8.19,$-43.20,0.0
