Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.0,,15.84
2024-12-31,87.72,$4.42,19.85
2024-09-30,83.06,$4.54,18.3
2024-06-30,74.98,$4.68,16.02
2024-03-31,70.23,$4.52,15.56
2023-12-31,72.43,$4.79,15.12
2023-09-30,65.38,$4.33,15.12
2023-06-30,68.8,$3.95,17.42
2023-03-31,71.44,$3.88,18.41
2022-12-31,72.44,$3.31,21.89
2022-09-30,69.78,$3.57,19.57
2022-06-30,68.91,$1.79,38.6
2022-03-31,77.1,$1.59,48.64
2021-12-31,60.23,$2.06,29.31
2021-09-30,57.11,$1.82,31.38
2021-06-30,58.82,$3.44,17.1
2021-03-31,58.86,$6.56,8.97
2020-12-31,56.09,$6.39,8.78
2020-09-30,51.69,$6.45,8.01
2020-06-30,50.74,$7.27,6.98
2020-03-31,48.47,$4.09,11.85
2019-12-31,64.32,$3.62,17.77
2019-09-30,62.27,$4.36,14.28
2019-06-30,57.19,$3.44,16.65
2019-03-31,52.37,$1.75,29.92
2018-12-31,44.67,$1.62,27.58
2018-09-30,46.58,$-0.89,0.0
2018-06-30,47.18,$-1.28,0.0
2018-03-31,44.84,$0.30,152.01
2017-12-31,42.76,$0.51,84.68
2017-09-30,45.3,$2.26,20.09
2017-06-30,44.11,$3.38,13.07
2017-03-31,43.23,$2.89,14.96
2016-12-31,39.08,$2.65,14.75
2016-09-30,41.32,$2.63,15.71
2016-06-30,43.65,$1.90,23.03
2016-03-31,39.56,$2.45,16.15
2015-12-31,35.48,$2.69,13.21
2015-09-30,36.24,$2.54,14.27
2015-06-30,36.79,$2.74,13.43
2015-03-31,40.26,$2.70,14.94
2014-12-31,40.86,$2.32,17.61
2014-09-30,38.44,$2.30,16.75
2014-06-30,37.95,$2.20,17.29
2014-03-31,34.85,$2.15,16.25
2013-12-31,32.11,$2.01,15.97
2013-09-30,30.4,$2.04,14.94
2013-06-30,28.83,$1.99,14.52
2013-03-31,27.98,$1.62,17.27
2012-12-31,24.63,$1.75,14.12
2012-09-30,22.21,$1.76,12.62
2012-06-30,23.5,$1.83,12.88
2012-03-31,20.27,$2.76,7.34
2011-12-31,18.41,$2.81,6.55
2011-09-30,17.08,$2.78,6.14
2011-06-30,17.37,$2.43,7.15
2011-03-31,17.42,$1.82,9.6
2010-12-31,16.93,$1.49,11.36
2010-09-30,17.22,$1.50,11.52
2010-06-30,14.87,$1.87,7.95
2010-03-31,15.73,$1.83,8.62
2009-12-31,17.52,$2.26,7.75
