Innovative Solutions And Support PE Ratio Historical Data,Innovative Solutions And Support PE Ratio Historical Data,Innovative Solutions And Support PE Ratio Historical Data,Innovative Solutions And Support PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.98,,18.37
2024-12-31,8.54,$0.38,22.47
2024-09-30,6.52,$0.40,16.3
2024-06-30,6.0,$0.37,16.22
2024-03-31,7.32,$0.36,20.33
2023-12-31,8.53,$0.36,23.69
2023-09-30,7.6,$0.34,22.35
2023-06-30,7.17,$0.29,24.72
2023-03-31,7.34,$0.29,25.31
2022-12-31,8.22,$0.30,27.4
2022-09-30,8.63,$0.33,26.15
2022-06-30,7.2,$0.32,22.5
2022-03-31,8.06,$0.40,20.15
2021-12-31,6.56,$0.36,18.22
2021-09-30,7.02,$0.30,23.4
2021-06-30,6.27,$0.28,22.39
2021-03-31,6.32,$0.19,33.26
2020-12-31,6.52,$0.18,36.22
2020-09-30,6.39,$0.19,33.61
2020-06-30,4.31,$0.18,23.94
2020-03-31,2.75,$0.14,19.63
2019-12-31,5.03,$0.12,41.94
2019-09-30,4.05,$0.11,36.82
2019-06-30,4.39,$0.03,146.49
2019-03-31,2.59,$-0.06,0.0
2018-12-31,1.95,$-0.15,0.0
2018-09-30,2.19,$-0.21,0.0
2018-06-30,2.51,$-0.20,0.0
2018-03-31,3.04,$-0.14,0.0
2017-12-31,2.53,$0.29,8.74
2017-09-30,3.14,$0.27,11.62
2017-06-30,3.79,$0.30,12.64
2017-03-31,2.6,$0.31,8.39
2016-12-31,2.87,$0.05,57.39
2016-09-30,2.75,$0.11,24.99
2016-06-30,2.43,$0.01,243.0
2016-03-31,2.27,$-0.21,0.0
2015-12-31,2.38,$-0.32,0.0
2015-09-30,2.34,$-0.28,0.0
2015-06-30,2.84,$-0.32,0.0
2015-03-31,3.27,$-0.08,0.0
2014-12-31,2.74,$-0.01,0.0
2014-09-30,4.49,$0.02,224.69
2014-06-30,6.41,$0.15,42.74
2014-03-31,6.49,$0.14,46.35
2013-12-31,6.28,$0.16,39.26
2013-09-30,6.86,$0.12,57.16
2013-06-30,5.51,$0.28,19.7
2013-03-31,4.25,$0.28,15.17
2012-12-31,2.96,$0.23,12.89
2012-09-30,1.83,$0.19,9.62
2012-06-30,1.51,$0.02,75.74
2012-03-31,2.02,0,0.0
2011-12-31,1.58,$0.01,0.0
2011-09-30,2.22,$0.05,44.34
2011-06-30,2.51,$0.12,20.92
2011-03-31,2.69,$0.20,13.43
2010-12-31,2.6,$0.13,20.02
2010-09-30,2.24,$0.04,56.12
2010-06-30,2.02,$-0.00,0.0
2010-03-31,2.89,$-0.01,0.0
2009-12-31,2.11,$0.11,19.15
