Iterum Therapeutics PE Ratio Historical Data,Iterum Therapeutics PE Ratio Historical Data,Iterum Therapeutics PE Ratio Historical Data,Iterum Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.45,,0.0
2024-12-31,1.77,$-1.31,0.0
2024-09-30,1.09,$-2.00,0.0
2024-06-30,1.15,$-2.00,0.0
2024-03-31,1.54,$-2.65,0.0
2023-12-31,1.97,$-2.97,0.0
2023-09-30,0.8,$-2.44,0.0
2023-06-30,1.07,$-4.52,0.0
2023-03-31,1.0,$-4.17,0.0
2022-12-31,0.84,$-3.69,0.0
2022-09-30,1.62,$-3.58,0.0
2022-06-30,3.0,$-0.90,0.0
2022-03-31,5.33,$0.30,17.76
2021-12-31,5.88,$-11.54,0.0
2021-09-30,8.38,$-15.44,0.0
2021-06-30,34.65,$-24.74,0.0
2021-03-31,21.15,$-37.33,0.0
2020-12-31,14.84,$-41.38,0.0
2020-09-30,15.75,$-61.02,0.0
2020-06-30,17.85,$-84.26,0.0
2020-03-31,40.65,$-101.20,0.0
2019-12-31,67.5,$-106.60,0.0
2019-09-30,86.55,$-108.55,0.0
2019-06-30,103.2,$-102.85,0.0
2019-03-31,118.83,$-107.20,0.0
