Consolidated Communications Holdings PE Ratio Historical Data,Consolidated Communications Holdings PE Ratio Historical Data,Consolidated Communications Holdings PE Ratio Historical Data,Consolidated Communications Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,4.66,,0.0
2024-09-30,4.64,$-2.05,0.0
2024-06-30,4.4,$-2.12,0.0
2024-03-31,4.32,$-2.59,0.0
2023-12-31,4.35,$-2.60,0.0
2023-09-30,3.42,$-2.49,0.0
2023-06-30,3.83,$0.57,6.72
2023-03-31,2.58,$1.52,1.7
2022-12-31,3.58,$0.82,4.37
2022-09-30,4.16,$1.35,3.08
2022-06-30,7.0,$-1.15,0.0
2022-03-31,5.9,$-1.76,0.0
2021-12-31,7.48,$-1.44,0.0
2021-09-30,9.19,$-1.65,0.0
2021-06-30,8.79,$-1.40,0.0
2021-03-31,7.2,$-0.50,0.0
2020-12-31,4.89,$0.52,9.4
2020-09-30,5.69,$0.53,10.74
2020-06-30,6.77,$0.33,20.52
2020-03-31,4.55,$0.04,113.75
2019-12-31,3.88,$-0.29,0.0
2019-09-30,4.76,$-0.41,0.0
2019-06-30,4.93,$-0.62,0.0
2019-03-31,10.55,$-0.67,0.0
2018-12-31,9.22,$-0.72,0.0
2018-09-30,11.77,$0.90,13.08
2018-06-30,10.84,$0.70,15.48
2018-03-31,9.28,$0.79,11.75
2017-12-31,10.02,$0.88,11.38
2017-09-30,15.38,$-0.54,0.0
2017-06-30,16.95,$0.01,1695.35
2017-03-31,18.2,$0.07,260.03
2016-12-31,20.57,$0.23,89.42
2016-09-30,19.03,$0.28,67.96
2016-06-30,20.26,$-0.18,0.0
2015-12-31,15.03,$-0.03,0.0
2015-09-30,13.55,$-0.34,0.0
2015-06-30,14.5,$-0.24,0.0
2015-03-31,13.82,$0.27,51.19
2014-12-31,18.55,$0.36,51.52
2016-03-31,18.85,$0.79,23.86
2014-09-30,16.43,$0.72,22.82
2014-06-30,14.34,$0.82,17.49
2014-03-31,12.64,$0.80,15.8
2013-12-31,12.16,$0.76,16.0
2013-09-30,10.45,$0.73,14.31
2013-06-30,10.32,$0.43,24.01
2013-03-31,10.18,$0.30,33.95
2012-12-31,9.03,$0.19,47.5
2012-09-30,9.53,$0.40,23.83
2012-06-30,8.02,$0.60,13.37
2012-03-31,10.42,$0.69,15.11
2011-12-31,9.9,$0.88,11.25
2011-09-30,9.19,$0.85,10.81
2011-06-30,9.7,$1.06,9.15
2011-03-31,9.14,$1.12,8.16
2010-12-31,9.24,$1.10,8.4
2010-09-30,8.76,$1.11,7.89
2010-06-30,7.8,$0.95,8.21
2010-03-31,8.53,$0.96,8.88
2009-12-31,7.69,$0.84,9.16
