Income Opportunity Realty Investors PE Ratio Historical Data,Income Opportunity Realty Investors PE Ratio Historical Data,Income Opportunity Realty Investors PE Ratio Historical Data,Income Opportunity Realty Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-18,17.35,,11.88
2024-09-30,17.48,$1.46,11.97
2024-06-30,16.25,$1.56,10.42
2024-03-31,16.74,$1.72,9.73
2023-12-31,13.4,$1.68,7.98
2023-09-30,11.15,$1.38,8.08
2023-06-30,11.48,$1.28,8.97
2023-03-31,11.38,$1.04,10.94
2022-12-31,12.01,$0.94,12.78
2022-09-30,12.5,$0.81,15.43
2022-06-30,12.84,$0.69,18.61
2022-03-31,12.44,$0.69,18.03
2021-12-31,11.95,$0.86,13.9
2021-09-30,11.14,$1.01,11.03
2021-06-30,12.82,$1.02,12.57
2021-03-31,11.14,$1.12,9.95
2020-12-31,11.34,$1.00,11.34
2020-09-30,11.84,$0.93,12.73
2020-06-30,11.11,$1.00,11.11
2020-03-31,10.29,$0.96,10.72
2019-12-31,13.2,$0.99,13.33
2019-09-30,12.58,$0.93,13.53
2019-06-30,12.91,$2.12,6.09
2019-03-31,11.36,$2.03,5.59
2018-12-31,10.67,$1.97,5.42
2018-09-30,11.78,$1.58,7.46
2018-06-30,13.35,$0.29,46.03
2018-03-31,11.7,$0.36,32.5
2017-12-31,11.08,$0.37,29.96
2017-09-30,9.05,$0.50,18.09
2017-06-30,9.4,$0.53,17.74
2017-03-31,8.75,$0.47,18.62
2016-12-31,7.3,$0.50,14.6
2016-09-30,7.5,$0.49,15.31
2016-06-30,7.1,$0.47,15.11
2016-03-31,7.56,$0.43,17.58
2015-12-31,7.48,$0.35,21.37
2015-09-30,8.25,$0.35,23.57
2015-06-30,7.45,$0.34,21.91
2015-03-31,6.48,$0.37,17.51
2014-12-31,5.7,$0.37,15.41
2014-09-30,5.95,$1.30,4.58
2014-06-30,6.31,$1.30,4.85
2014-03-31,6.08,$1.28,4.75
2013-12-31,4.99,$1.32,3.78
2013-09-30,5.19,$0.39,13.31
2013-06-30,3.76,$0.32,11.75
2013-03-31,3.49,$0.41,8.51
2012-12-31,3.5,$0.36,9.72
2012-09-30,3.45,$1.16,2.97
2012-06-30,1.78,$0.95,1.87
2012-03-31,1.45,$0.34,4.26
2011-12-31,1.39,$0.15,9.27
2011-09-30,2.13,$-0.16,0.0
2011-06-30,2.83,$-0.04,0.0
2011-03-31,3.3,$0.33,10.0
2010-12-31,4.15,$0.44,9.43
2010-09-30,4.63,$0.52,8.9
2010-06-30,5.6,$0.44,12.73
2010-03-31,5.95,$0.35,17.0
2009-12-31,8.4,$0.22,38.18
