Hecla Mining PE Ratio Historical Data,Hecla Mining PE Ratio Historical Data,Hecla Mining PE Ratio Historical Data,Hecla Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.85,,117.0
2024-12-31,4.91,$0.05,98.2
2024-09-30,6.65,$-0.04,0.0
2024-06-30,4.83,$-0.08,0.0
2024-03-31,4.78,$-0.15,0.0
2023-12-31,4.78,$-0.15,0.0
2023-09-30,3.88,$-0.09,0.0
2023-06-30,5.1,$-0.09,0.0
2023-03-31,6.26,$-0.09,0.0
2022-12-31,5.49,$-0.07,0.0
2022-09-30,3.89,$-0.04,0.0
2022-06-30,3.86,$-0.20,0.0
2022-03-31,6.47,$-0.16,0.0
2021-12-31,5.13,$-0.14,0.0
2021-09-30,5.4,$-0.16,0.0
2021-06-30,7.29,$0.07,104.21
2021-03-31,5.57,$0.03,185.72
2020-12-31,6.34,$-0.03,0.0
2020-09-30,4.96,$-0.05,0.0
2020-06-30,3.19,$-0.12,0.0
2020-03-31,1.77,$-0.19,0.0
2019-12-31,3.3,$-0.21,0.0
2019-09-30,1.71,$-0.24,0.0
2019-06-30,1.75,$-0.25,0.0
2019-03-31,2.23,$-0.12,0.0
2018-12-31,2.29,$-0.05,0.0
2018-09-30,2.7,$-0.07,0.0
2018-06-30,3.36,$-0.02,0.0
2018-03-31,3.55,$-0.11,0.0
2017-12-31,3.83,$-0.06,0.0
2017-09-30,4.84,$0.06,80.74
2017-06-30,4.92,$0.13,37.84
2017-03-31,5.1,$0.25,20.4
2016-12-31,5.05,$0.18,28.05
2016-09-30,5.49,$-0.04,0.0
2016-06-30,4.91,$-0.14,0.0
2016-03-31,2.68,$-0.27,0.0
2015-12-31,1.82,$-0.24,0.0
2015-09-30,1.89,$-0.02,0.0
2015-06-30,2.52,$0.02,126.12
2015-03-31,2.86,$0.05,57.12
2014-12-31,2.67,$0.05,53.43
2014-09-30,2.37,$-0.01,0.0
2014-06-30,3.3,$-0.05,0.0
2014-03-31,2.93,$-0.09,0.0
2013-12-31,2.94,$-0.08,0.0
2013-09-30,2.99,$-0.07,0.0
2013-06-30,2.84,$-0.04,0.0
2013-03-31,3.76,$0.05,75.22
2012-12-31,5.53,$0.05,110.69
2012-09-30,6.19,$0.11,56.31
2012-06-30,4.49,$0.30,14.97
2012-03-31,4.35,$0.40,10.86
2011-12-31,4.91,$0.51,9.62
2011-09-30,5.01,$0.40,12.53
2011-06-30,7.19,$0.27,26.64
2011-03-31,8.49,$0.21,40.44
2010-12-31,10.53,$0.13,81.0
2010-09-30,5.91,$0.29,20.38
2010-06-30,4.88,$0.32,15.26
2010-03-31,5.12,$0.27,18.95
2009-12-31,5.78,$0.22,26.27
