Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,459.79,,40.8
2024-12-31,473.37,$11.27,42.0
2024-09-30,473.75,$10.95,43.27
2024-06-30,419.42,$10.13,41.4
2024-03-31,390.82,$9.16,42.67
2023-12-31,387.5,$8.73,44.39
2023-09-30,313.03,$8.22,38.08
2023-06-30,343.46,$7.76,44.26
2023-03-31,301.53,$7.48,40.31
2022-12-31,273.82,$7.44,36.8
2022-09-30,238.35,$8.38,28.44
2022-06-30,266.07,$9.26,28.73
2022-03-31,329.27,$10.56,31.18
2021-12-31,380.33,$11.78,32.29
2021-09-30,345.24,$11.16,30.94
2021-06-30,351.71,$11.10,31.69
2021-03-31,289.27,$10.72,26.98
2020-12-31,280.54,$9.39,29.88
2020-09-30,279.59,$9.61,29.09
2020-06-30,264.48,$9.13,28.97
2020-03-31,203.16,$8.06,25.21
2019-12-31,227.57,$7.42,30.67
2019-09-30,195.9,$6.83,28.68
2019-06-30,186.37,$6.43,28.98
2019-03-31,172.34,$6.75,25.53
2018-12-31,132.89,$6.74,19.72
2018-09-30,158.18,$5.58,28.35
2018-06-30,160.95,$5.62,28.64
2018-03-31,151.82,$5.29,28.7
2017-12-31,138.57,$5.15,26.91
2017-09-30,130.35,$2.80,46.56
2017-06-30,113.61,$2.48,45.81
2017-03-31,104.26,$2.17,48.05
2016-12-31,87.42,$1.32,66.23
2016-09-30,100.05,$4.63,21.61
2016-06-30,86.28,$4.46,19.34
2016-03-31,88.55,$4.44,19.94
2015-12-31,91.63,$4.62,19.83
2015-09-30,89.38,$4.65,19.22
2015-06-30,97.96,$4.51,21.72
2015-03-31,93.89,$4.71,19.93
2014-12-31,86.37,$4.60,18.78
2014-09-30,84.95,$4.42,19.22
2014-06-30,78.56,$4.25,18.49
2014-03-31,70.84,$3.77,18.79
2013-12-31,69.84,$3.60,19.4
2013-09-30,62.38,$3.36,18.57
2013-06-30,53.84,$3.34,16.12
2013-03-31,46.97,$3.10,15.15
2012-12-31,44.14,$3.03,14.57
2012-09-30,38.61,$2.76,13.99
2012-06-30,31.82,$2.52,12.63
2012-03-31,36.49,$2.58,14.14
2011-12-31,29.07,$2.49,11.67
2011-09-30,26.17,$2.64,9.91
2011-06-30,32.81,$2.65,12.38
2011-03-31,28.91,$2.34,12.35
2010-12-31,22.54,$2.14,10.53
2010-09-30,21.13,$1.99,10.62
2010-06-30,16.77,$1.83,9.17
2010-03-31,24.93,$1.78,14.0
2009-12-31,22.37,$1.69,13.24
