Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,162.8,,20.22
2024-12-31,189.3,$8.05,23.52
2024-09-30,165.66,$7.54,21.97
2024-06-30,181.7,$6.97,26.07
2024-03-31,150.38,$6.52,23.06
2023-12-31,139.18,$5.80,24.0
2023-09-30,130.39,$5.21,25.03
2023-06-30,119.27,$4.72,25.27
2023-03-31,103.35,$4.49,23.02
2022-12-31,87.91,$4.55,19.32
2022-09-30,95.3,$5.04,18.93
2022-06-30,108.57,$5.38,20.2
2022-03-31,138.56,$5.53,25.07
2021-12-31,144.33,$5.61,25.72
2021-09-30,133.19,$5.19,25.65
2021-06-30,121.65,$4.61,26.37
2021-03-31,102.75,$3.76,27.36
2020-12-31,87.31,$2.94,29.75
2020-09-30,73.01,$2.59,28.22
2020-06-30,70.65,$2.27,31.07
2020-03-31,57.89,$2.48,23.37
2019-12-31,66.73,$2.46,27.14
2019-09-30,60.84,$2.33,26.11
2019-06-30,53.94,$2.48,21.78
2019-03-31,58.63,$1.99,29.41
2018-12-31,52.06,$2.19,23.83
2018-09-30,60.14,$1.33,45.25
2018-06-30,56.26,$1.15,48.73
2018-03-31,51.67,$1.18,43.86
2017-12-31,52.48,$0.90,58.44
2017-09-30,48.51,$1.49,32.48
2017-06-30,46.32,$1.38,33.62
2017-03-31,42.24,$1.48,28.6
2016-12-31,39.48,$1.39,28.37
2016-09-30,40.06,$1.37,29.31
2016-06-30,35.05,$1.29,27.16
2016-03-31,38.01,$1.19,32.02
2015-12-31,38.76,$1.15,33.82
2015-09-30,31.74,$1.14,27.88
2015-06-30,26.9,$1.06,25.47
2015-03-31,27.63,$1.06,26.08
2014-12-31,26.44,$1.05,25.14
2014-09-30,29.31,$0.95,30.74
2014-06-30,29.13,$0.97,30.09
2014-03-31,27.85,$0.96,29.1
2013-12-31,28.0,$0.95,29.37
2013-09-30,21.89,$0.92,23.75
2013-06-30,22.0,$0.87,25.4
2013-03-31,19.84,$0.84,23.68
2012-12-31,17.68,$0.81,21.86
2012-09-30,18.85,$0.80,23.61
2012-06-30,14.49,$0.84,17.18
2012-03-31,16.02,$0.83,19.42
2011-12-31,16.14,$0.78,20.64
2011-09-30,12.87,$0.77,16.67
2011-06-30,12.65,$0.73,17.3
2011-03-31,14.66,$0.68,21.48
2010-12-31,14.84,$0.66,22.56
2010-09-30,13.14,$0.62,21.33
2010-06-30,11.12,$0.58,19.28
2010-03-31,14.17,$0.55,25.76
2009-12-31,15.49,$0.51,30.33
