Prenetics Global PE Ratio Historical Data,Prenetics Global PE Ratio Historical Data,Prenetics Global PE Ratio Historical Data,Prenetics Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.3,,0.0
2024-09-30,4.0,$-3.99,0.0
2024-06-30,5.92,$-3.23,0.0
2024-03-31,4.05,$-4.45,0.0
2023-12-31,5.91,$-4.80,0.0
2023-09-30,0.49,$-3.08,0.0
2023-06-30,0.89,$-6.15,0.0
2023-03-31,0.96,$-47.68,0.0
2022-12-31,2.0,$-79.76,0.0
2022-09-30,3.78,$-79.91,0.0
2022-06-30,4.04,$-78.11,0.0
