Monro Muffler Brake PE Ratio Historical Data,Monro Muffler Brake PE Ratio Historical Data,Monro Muffler Brake PE Ratio Historical Data,Monro Muffler Brake PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.05,,26.64
2024-12-31,24.8,$0.64,38.75
2024-09-30,28.57,$0.87,32.84
2024-06-30,23.38,$1.09,21.45
2024-03-31,30.55,$1.18,25.89
2023-12-31,28.18,$1.07,26.33
2023-09-30,26.43,$1.10,24.02
2023-06-30,38.35,$1.10,34.86
2023-03-31,46.35,$1.19,38.95
2022-12-31,42.14,$1.43,29.47
2022-09-30,40.28,$1.50,26.86
2022-06-30,39.52,$1.72,22.98
2022-03-31,40.62,$1.81,22.44
2021-12-31,53.06,$1.91,27.78
2021-09-30,52.14,$1.63,31.98
2021-06-30,57.31,$1.39,41.23
2021-03-31,59.14,$1.02,57.98
2020-12-31,47.75,$0.55,86.83
2020-09-30,36.18,$0.91,39.76
2020-06-30,48.77,$1.13,43.15
2020-03-31,38.75,$1.71,22.66
2019-12-31,68.83,$2.33,29.54
2019-09-30,69.34,$2.38,29.14
2019-06-30,74.65,$2.43,30.72
2019-03-31,75.51,$2.38,31.73
2018-12-31,59.84,$2.40,24.93
2018-09-30,60.43,$2.14,28.24
2018-06-30,50.3,$2.01,25.03
2018-03-31,46.24,$1.92,24.08
2017-12-31,48.96,$1.69,28.97
2017-09-30,48.03,$1.87,25.68
2017-06-30,35.63,$1.88,18.95
2017-03-31,44.31,$1.85,23.95
2016-12-31,48.5,$1.98,24.49
2016-09-30,51.71,$1.91,27.07
2016-06-30,53.57,$1.95,27.47
2016-03-31,60.07,$2.02,29.74
2015-12-31,55.54,$1.98,28.05
2015-09-30,56.53,$2.01,28.13
2015-06-30,51.9,$1.94,26.75
2015-03-31,54.18,$1.89,28.67
2014-12-31,48.04,$1.87,25.69
2014-09-30,40.25,$1.85,21.75
2014-06-30,44.0,$1.77,24.86
2014-03-31,46.94,$1.67,28.11
2013-12-31,46.42,$1.56,29.76
2013-09-30,38.16,$1.44,26.5
2013-06-30,39.4,$1.38,28.55
2013-03-31,32.48,$1.32,24.61
2012-12-31,28.55,$1.40,20.39
2012-09-30,28.6,$1.47,19.46
2012-06-30,26.95,$1.58,17.05
2012-03-31,33.53,$1.70,19.73
2011-12-31,31.29,$1.63,19.2
2011-09-30,26.53,$1.56,17.01
2011-06-30,29.94,$1.51,19.83
2011-03-31,26.41,$1.45,18.22
2010-12-31,27.63,$1.38,20.07
2010-09-30,24.5,$1.28,19.14
2010-06-30,20.96,$1.19,17.66
2010-03-31,18.88,$1.07,17.58
2009-12-31,17.65,$0.99,17.89
