Ohio Valley Banc PE Ratio Historical Data,Ohio Valley Banc PE Ratio Historical Data,Ohio Valley Banc PE Ratio Historical Data,Ohio Valley Banc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.8,,17.77
2024-12-31,24.21,$1.79,13.53
2024-09-30,24.01,$2.47,9.72
2024-06-30,19.63,$2.36,8.32
2024-03-31,23.77,$2.41,9.86
2023-12-31,22.16,$2.65,8.36
2023-09-30,23.16,$2.71,8.54
2023-06-30,23.41,$3.01,7.78
2023-03-31,21.82,$2.75,7.93
2022-12-31,24.43,$2.80,8.72
2022-09-30,25.52,$2.54,10.05
2022-06-30,27.48,$2.40,11.45
2022-03-31,27.11,$2.58,10.51
2021-12-31,26.5,$2.45,10.82
2021-09-30,23.73,$2.95,8.04
2021-06-30,21.5,$2.80,7.68
2021-03-31,21.16,$2.67,7.93
2020-12-31,20.38,$2.14,9.52
2020-09-30,17.67,$1.89,9.35
2020-06-30,19.09,$1.86,10.26
2020-03-31,25.15,$2.04,12.33
2019-12-31,33.05,$2.08,15.89
2019-09-30,30.26,$2.17,13.95
2019-06-30,31.81,$2.09,15.22
2019-03-31,29.65,$2.07,14.32
2018-12-31,28.86,$2.53,11.41
2018-09-30,29.71,$1.90,15.64
2018-06-30,42.34,$1.88,22.52
2018-03-31,33.63,$1.62,20.76
2017-12-31,32.3,$1.60,20.19
2017-09-30,28.93,$1.84,15.73
2017-06-30,28.49,$1.57,18.15
2017-03-31,22.32,$1.61,13.86
2016-12-31,21.18,$1.61,13.15
2016-09-30,17.13,$1.64,10.45
2016-06-30,16.71,$1.96,8.53
2016-03-31,16.47,$1.89,8.71
2015-12-31,18.42,$2.08,8.86
2015-09-30,18.04,$1.72,10.49
2015-06-30,16.68,$1.99,8.38
2015-03-31,16.4,$1.98,8.28
2014-12-31,17.73,$1.97,9.0
2014-09-30,16.53,$2.34,7.07
2014-06-30,16.28,$2.02,8.06
2014-03-31,15.47,$2.17,7.13
2013-12-31,15.32,$2.09,7.33
2013-09-30,13.9,$2.02,6.88
2013-06-30,15.29,$1.94,7.88
2013-03-31,12.9,$1.89,6.83
2012-12-31,12.63,$1.75,7.22
2012-09-30,12.19,$1.69,7.21
2012-06-30,12.52,$1.64,7.63
2012-03-31,11.23,$1.60,7.02
2011-12-31,11.73,$1.46,8.04
2011-09-30,10.68,$1.45,7.37
2011-06-30,10.81,$1.33,8.13
2011-03-31,12.94,$1.31,9.88
2010-12-31,11.88,$1.28,9.28
2010-09-30,11.63,$1.33,8.74
2010-06-30,9.77,$1.66,5.88
2010-03-31,12.64,$1.64,7.71
2009-12-31,12.79,$1.67,7.66
