Jerash Holdings (US) PE Ratio Historical Data,Jerash Holdings (US) PE Ratio Historical Data,Jerash Holdings (US) PE Ratio Historical Data,Jerash Holdings (US) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.57,,0.0
2024-12-31,3.42,$-0.31,0.0
2024-09-30,2.97,$-0.29,0.0
2024-06-30,2.95,$-0.31,0.0
2024-03-31,2.91,$-0.16,0.0
2023-12-31,2.92,$-0.07,0.0
2023-09-30,2.8,$-0.02,0.0
2023-06-30,3.38,$0.09,37.55
2023-03-31,4.22,$0.19,22.2
2022-12-31,3.45,$0.34,10.16
2022-09-30,3.72,$0.40,9.3
2022-06-30,4.09,$0.65,6.3
2022-03-31,5.54,$0.68,8.14
2021-12-31,5.54,$0.75,7.38
2021-09-30,5.71,$0.63,9.07
2021-06-30,5.63,$0.47,11.97
2021-03-31,5.28,$0.37,14.28
2020-12-31,4.86,$0.25,19.46
2020-09-30,3.72,$0.42,8.86
2020-06-30,3.97,$0.50,7.93
2020-03-31,4.1,$0.57,7.19
2019-12-31,4.69,$0.61,7.69
2019-09-30,5.87,$0.57,10.3
2019-06-30,5.65,$0.67,8.44
2019-03-31,5.77,$0.45,12.82
