Nauticus Robotics PE Ratio Historical Data,Nauticus Robotics PE Ratio Historical Data,Nauticus Robotics PE Ratio Historical Data,Nauticus Robotics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.14,,0.0
2024-09-30,1.41,$-55.19,0.0
2024-06-30,0.14,$-66.42,0.0
2024-03-31,0.32,$-46.04,0.0
2023-12-31,0.68,$-51.44,0.0
2023-09-30,1.77,$-14.75,0.0
2023-06-30,2.07,$-23.38,0.0
2023-03-31,2.98,$-41.01,0.0
2022-12-31,3.74,$-31.66,0.0
2022-09-30,3.61,$-24.10,0.0
2022-06-30,10.07,0,0.0
