Horizon Bancorp (IN) PE Ratio Historical Data,Horizon Bancorp (IN) PE Ratio Historical Data,Horizon Bancorp (IN) PE Ratio Historical Data,Horizon Bancorp (IN) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.61,,19.51
2024-12-31,16.11,$0.80,20.14
2024-09-30,15.38,$0.47,32.73
2024-06-30,12.08,$0.43,28.08
2024-03-31,12.36,$0.54,22.89
2023-12-31,13.63,$0.64,21.29
2023-09-30,10.01,$1.70,5.89
2023-06-30,9.6,$1.88,5.11
2023-03-31,10.05,$2.02,4.98
2022-12-31,13.56,$2.14,6.34
2022-09-30,16.02,$2.15,7.45
2022-06-30,15.39,$2.12,7.26
2022-03-31,16.36,$2.05,7.98
2021-12-31,18.15,$1.97,9.21
2021-09-30,15.69,$1.98,7.92
2021-06-30,14.94,$1.92,7.78
2021-03-31,15.93,$1.75,9.1
2020-12-31,13.4,$1.55,8.65
2020-09-30,8.43,$1.46,5.77
2020-06-30,8.82,$1.46,6.04
2020-03-31,8.03,$1.50,5.36
2019-12-31,15.38,$1.52,10.12
2019-09-30,13.96,$1.45,9.63
2019-06-30,13.04,$1.33,9.8
2019-03-31,12.76,$1.33,9.6
2018-12-31,12.44,$1.38,8.99
2018-09-30,15.49,$1.24,12.46
2018-06-30,16.15,$1.14,14.12
2018-03-31,15.54,$1.05,14.84
2017-12-31,14.32,$0.96,14.92
2017-09-30,14.96,$0.93,16.14
2017-06-30,13.45,$0.89,15.16
2017-03-31,13.32,$0.84,15.78
2016-12-31,14.17,$0.79,17.86
2016-09-30,9.86,$0.85,11.56
2016-06-30,8.39,$0.81,10.31
2016-03-31,8.2,$0.80,10.25
2015-12-31,9.22,$0.85,10.87
2015-09-30,7.83,$0.85,9.23
2015-06-30,8.18,$0.92,8.94
2015-03-31,7.63,$0.92,8.29
2014-12-31,8.47,$0.84,10.03
2014-09-30,7.39,$0.82,9.03
2014-06-30,6.96,$0.82,8.47
2014-03-31,7.07,$0.88,8.07
2013-12-31,8.03,$0.96,8.33
2013-09-30,7.34,$1.01,7.24
2013-06-30,6.38,$0.94,6.77
2013-03-31,6.26,$0.94,6.64
2012-12-31,6.08,$0.95,6.44
2012-09-30,5.87,$0.90,6.54
2012-06-30,5.37,$0.90,6.0
2012-03-31,3.73,$0.78,4.76
2011-12-31,3.5,$0.67,5.22
2011-09-30,3.54,$0.62,5.75
2011-06-30,3.57,$0.63,5.65
2011-03-31,3.6,$0.60,6.05
2010-12-31,3.49,$0.54,6.51
2010-09-30,2.9,$0.49,5.87
2010-06-30,2.76,$0.44,6.26
2010-03-31,2.46,$0.41,5.92
2009-12-31,2.06,$0.47,4.43
