PennantPark Investment PE Ratio Historical Data,PennantPark Investment PE Ratio Historical Data,PennantPark Investment PE Ratio Historical Data,PennantPark Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.1,,27.31
2024-12-31,7.08,$0.26,27.23
2024-09-30,6.75,$0.17,39.72
2024-06-30,7.05,$0.66,10.69
2024-03-31,6.24,$0.92,6.78
2023-12-31,6.07,$0.74,8.21
2023-09-30,5.6,$-0.52,0.0
2023-06-30,4.86,$-1.23,0.0
2023-03-31,4.21,$-1.83,0.0
2022-12-31,4.42,$-1.85,0.0
2022-09-30,4.08,$-0.37,0.0
2022-06-30,4.51,$0.53,8.51
2022-03-31,5.55,$1.29,4.3
2021-12-31,4.85,$1.81,2.68
2021-09-30,4.46,$2.49,1.79
2021-06-30,4.51,$2.25,2.0
2021-03-31,3.75,$2.00,1.88
2020-12-31,3.0,$0.53,5.66
2020-09-30,2.02,$-0.24,0.0
2020-06-30,2.15,$-0.25,0.0
2020-03-31,1.54,$-0.40,0.0
2019-12-31,3.63,$0.43,8.43
2019-09-30,3.39,$0.24,14.12
2019-06-30,3.32,$0.29,11.45
2019-03-31,3.53,$0.45,7.84
2018-12-31,3.17,$0.60,5.29
2018-09-30,3.61,$0.68,5.31
2018-06-30,3.31,$0.60,5.52
2018-03-31,3.08,$0.62,4.97
2017-12-31,3.11,$0.70,4.44
2017-09-30,3.29,$0.86,3.83
2017-06-30,3.16,$0.97,3.26
2017-03-31,3.4,$1.10,3.09
2016-12-31,3.13,$1.00,3.13
2016-09-30,2.97,$0.10,29.65
2016-06-30,2.6,$-0.09,0.0
2016-03-31,2.21,$-0.41,0.0
2015-12-31,2.15,$-0.37,0.0
2015-09-30,2.16,$-0.13,0.0
2015-06-30,2.82,$-0.17,0.0
2015-03-31,2.82,$0.24,11.74
2014-12-31,2.88,$0.75,3.84
2014-09-30,3.2,$1.66,1.93
2014-06-30,3.28,$2.02,1.62
2014-03-31,3.08,$1.75,1.76
2013-12-31,3.15,$1.55,2.03
2013-09-30,3.0,$1.40,2.14
2013-06-30,2.86,$1.36,2.11
2013-03-31,2.86,$1.21,2.36
2012-12-31,2.72,$0.98,2.77
2012-09-30,2.55,$0.88,2.9
2012-06-30,2.43,$-0.19,0.0
2012-03-31,2.38,$-0.20,0.0
2011-12-31,2.25,$-0.05,0.0
2011-09-30,1.93,$0.32,6.04
2011-06-30,2.36,$1.29,1.83
2011-03-31,2.45,$1.52,1.61
2010-12-31,2.46,$1.45,1.7
2010-09-30,2.09,$1.02,2.05
2010-06-30,1.83,$1.10,1.67
2010-03-31,1.94,$1.09,1.78
2009-12-31,1.63,$1.08,1.51
