General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.31,,17.0
2025-02-28,60.62,$3.43,17.67
2024-11-30,66.26,$4.60,14.4
2024-08-31,71.69,$4.20,17.07
2024-05-31,67.53,$4.31,15.67
2024-02-29,62.52,$4.36,14.34
2023-11-30,61.45,$4.11,14.95
2023-08-31,64.7,$4.10,15.78
2023-05-31,79.85,$4.31,18.53
2023-02-28,74.97,$4.63,16.19
2022-11-30,79.92,$4.79,16.68
2022-08-31,71.44,$4.75,15.04
2022-05-31,64.51,$4.42,14.6
2022-02-28,61.83,$3.75,16.49
2021-11-30,56.22,$3.63,15.49
2021-08-31,52.18,$3.77,13.84
2021-05-31,56.26,$3.78,14.88
2021-02-28,48.82,$4.12,11.85
2020-11-30,53.51,$3.90,13.72
2020-08-31,55.8,$3.74,14.92
2020-05-31,54.58,$3.56,15.33
2020-02-29,42.05,$3.48,12.08
2019-11-30,45.34,$3.48,13.03
2019-08-31,45.33,$3.10,14.62
2019-05-31,41.28,$2.90,14.23
2019-02-28,38.98,$2.55,15.29
2018-11-30,34.57,$3.43,10.08
2018-08-31,37.18,$3.60,10.33
2018-05-31,33.8,$3.64,9.28
2018-02-28,39.96,$3.74,10.68
2017-11-30,44.35,$2.73,16.24
2017-08-31,41.36,$2.79,14.83
2017-05-31,43.67,$2.77,15.77
2017-02-28,46.08,$2.70,17.07
2016-11-30,46.15,$2.68,17.22
2016-08-31,53.23,$2.75,19.36
2016-05-31,46.87,$2.77,16.92
2016-02-29,43.62,$2.45,17.8
2015-11-30,42.47,$2.42,17.55
2015-08-31,41.41,$2.11,19.63
2015-05-31,40.65,$1.97,20.64
2015-02-28,38.64,$2.32,16.65
2014-11-30,37.6,$2.40,15.67
2014-08-31,37.74,$2.68,14.08
2014-05-31,38.54,$2.83,13.62
2014-02-28,34.83,$2.73,12.76
2013-11-30,34.83,$2.69,12.95
2013-08-31,33.79,$2.67,12.66
2013-05-31,32.01,$2.79,11.47
2013-02-28,31.24,$2.73,11.44
2012-11-30,27.46,$2.71,10.13
2012-08-31,26.14,$2.56,10.21
2012-05-31,25.22,$2.35,10.73
2012-02-29,25.05,$2.34,10.7
2011-11-30,25.92,$2.35,11.03
2011-08-31,24.4,$2.60,9.39
2011-05-31,25.39,$2.69,9.44
2011-02-28,23.53,$2.52,9.34
2010-11-30,22.21,$2.41,9.22
2010-08-31,22.56,$2.32,9.73
2010-05-31,22.05,$2.25,9.82
2010-02-28,22.14,$2.47,8.96
2009-11-30,20.77,$2.42,8.6
