Addentax Group PE Ratio Historical Data,Addentax Group PE Ratio Historical Data,Addentax Group PE Ratio Historical Data,Addentax Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.84,,0.0
2024-12-31,0.61,$-0.28,0.0
2024-09-30,0.71,$-0.75,0.0
2024-06-30,0.78,$-0.25,0.0
2024-03-31,0.91,$-0.83,0.0
2023-12-31,1.44,$-0.72,0.0
2023-09-30,1.35,$-0.06,0.0
2023-06-30,6.57,$-0.43,0.0
