P3 Health Partners PE Ratio Historical Data,P3 Health Partners PE Ratio Historical Data,P3 Health Partners PE Ratio Historical Data,P3 Health Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.17,,0.0
2024-09-30,0.39,$-0.84,0.0
2024-06-30,0.45,$-0.65,0.0
2024-03-31,1.03,$-0.59,0.0
2023-12-31,1.41,$-0.65,0.0
2023-09-30,1.47,"$-2,260.66",0.0
2023-06-30,2.99,"$-2,260.81",0.0
2023-03-31,1.06,"$-2,260.72",0.0
2022-12-31,1.84,"$-2,260.50",0.0
2022-09-30,4.62,$-0.27,0.0
2022-06-30,3.72,0,0.0
2022-03-31,7.82,0,0.0
