AmpliTech PE Ratio Historical Data,AmpliTech PE Ratio Historical Data,AmpliTech PE Ratio Historical Data,AmpliTech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.81,,0.0
2024-09-30,0.78,$-0.81,0.0
2024-06-30,1.05,$-0.78,0.0
2024-03-31,1.85,$-0.67,0.0
2023-12-31,1.88,$-0.25,0.0
2023-09-30,2.02,$-0.29,0.0
2023-06-30,2.31,$-0.14,0.0
2023-03-31,2.76,$-0.13,0.0
2022-12-31,2.12,$-0.07,0.0
2022-09-30,1.84,$0.02,92.0
2022-06-30,2.05,$-0.10,0.0
2022-03-31,3.36,$-0.11,0.0
2021-12-31,3.94,$-0.11,0.0
2021-09-30,3.58,$-0.11,0.0
2021-06-30,4.63,$-0.05,0.0
2021-03-31,10.95,0,0.0
2020-12-31,0.24,0,0.0
