Waste Connections PE Ratio Historical Data,Waste Connections PE Ratio Historical Data,Waste Connections PE Ratio Historical Data,Waste Connections PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,189.86,,79.44
2024-12-31,171.58,$2.39,71.79
2024-09-30,178.51,$3.64,49.04
2024-06-30,174.78,$3.34,52.33
2024-03-31,171.15,$3.08,55.57
2023-12-31,148.27,$2.96,50.09
2023-09-30,133.11,$3.22,41.34
2023-06-30,141.4,$3.25,43.51
2023-03-31,137.34,$3.31,41.49
2022-12-31,130.66,$3.23,40.45
2022-09-30,132.95,$3.12,42.61
2022-06-30,121.76,$2.64,46.12
2022-03-31,136.98,$2.45,55.91
2021-12-31,133.37,$2.37,56.27
2021-09-30,123.04,$2.23,55.17
2021-06-30,116.5,$2.39,48.74
2021-03-31,105.15,$0.85,123.71
2020-12-31,99.68,$0.78,127.79
2020-09-30,100.68,$0.78,129.08
2020-06-30,90.8,$0.78,116.42
2020-03-31,74.87,$2.20,34.03
2019-12-31,87.55,$2.14,40.91
2019-09-30,88.53,$2.14,41.37
2019-06-30,91.82,$2.11,43.51
2019-03-31,84.95,$2.07,41.04
2018-12-31,71.06,$2.06,34.5
2018-09-30,76.19,$2.75,27.7
2018-06-30,71.77,$2.65,27.08
2018-03-31,68.27,$2.60,26.26
2017-12-31,67.38,$2.18,30.86
2017-09-30,66.31,$1.32,50.24
2017-06-30,60.95,$1.18,51.51
2017-03-31,55.54,$0.85,65.6
2016-12-31,49.37,$0.77,64.49
2016-09-30,46.81,$1.02,45.88
2016-06-30,45.07,$0.98,46.08
2016-03-31,40.35,$1.30,31.0
2015-12-31,35.11,$1.55,22.64
2015-09-30,30.22,$1.20,25.09
2015-06-30,29.24,$1.41,20.7
2015-03-31,29.79,$1.45,20.49
2014-12-31,27.15,$1.55,17.51
2014-09-30,29.86,$1.74,17.11
2014-06-30,29.79,$1.48,20.1
2014-03-31,26.83,$1.37,19.57
2013-12-31,26.61,$1.40,19.03
2013-09-30,27.52,$1.11,24.85
2013-06-30,24.8,$1.26,19.68
2013-03-31,21.56,$1.20,17.9
2012-12-31,20.12,$1.12,17.93
2012-09-30,17.88,$-2.45,0.0
2012-06-30,17.55,$-2.38,0.0
2012-03-31,18.94,$-2.30,0.0
2011-12-31,19.15,$-2.30,0.0
2011-09-30,19.42,$1.38,14.03
2011-06-30,18.11,$1.20,15.03
2011-03-31,16.32,$1.08,15.11
2010-12-31,15.5,$1.07,14.54
2010-09-30,14.78,$0.97,15.24
2010-06-30,13.0,$0.97,13.41
2010-03-31,12.61,$0.93,13.59
2009-12-31,12.34,$0.87,14.14
